== 0 ==
"001"	{emote: Alarmed}
"002"	{emote: Happiness}
"003"	{emote: Alarmed}
"004"	{emote: Alarmed}
"005"	{emote: Alarmed}
"006"	{emote: Alarmed}
"007"	{emote: Alarmed}
"008"	{emote: Alarmed}
"009"	{emote: Happiness}
"010"	{emote: Alarmed}
"011"	{emote: Greetings}
== 1 ==
"001"	{emote: Alarmed}
"002"	{emote: Happiness}
"003"	{emote: Alarmed}
"004"	{emote: Alarmed}
"005"	{emote: Alarmed}
"006"	{emote: Alarmed}
"007"	{emote: Alarmed}
"008"	{emote: Alarmed}
"009"	{emote: Happiness}
"010"	{emote: Alarmed}
"011"	{emote: Greetings}
== 2 ==
"001"	{emote: Alarmed}
"002"	{emote: Happiness}
"003"	{emote: Greetings}
"004"	{emote: Alarmed}
"005"	{emote: Greetings}
"006"	{emote: Alarmed}
"007"	{emote: Alarmed}
"008"	{emote: Alarmed}
"009"	{emote: Happiness}
"010"	{emote: Alarmed}
"011"	{emote: Greetings}
== 3 ==
"001"	{emote: Alarmed}
"002"	{emote: Happiness}
"003"	{emote: Alarmed}
"004"	{emote: Alarmed}
"005"	{emote: Alarmed}
"006"	{emote: Alarmed}
"007"	{emote: Alarmed}
"008"	{emote: Alarmed}
"009"	{emote: Happiness}
"010"	{emote: Alarmed}
"011"	{emote: Greetings}
== 4 ==
"001"	{emote: Alarmed}
"002"	{emote: Happiness}
"003"	{emote: Alarmed}
"004"	{emote: Alarmed}
"005"	{emote: Alarmed}
"006"	{emote: Alarmed}
"007"	{emote: Alarmed}
"008"	{emote: Alarmed}
"009"	{emote: Happiness}
"010"	{emote: Alarmed}
"011"	{emote: Greetings}
