== 0 ==
"001"	{emote: Alarmed}
"002"	{emote: Greetings}
"003"	{emote: Alarmed}
"004"	{emote: Greetings}
"005"	{emote: Greetings}
"006"	{emote: Alarmed}
"007"	{emote: Alarmed}
"008"	{emote: Alarmed}
"009"	{emote: Surprise}
"010"	{emote: Surprise}
"011"	{emote: Greetings}
"012"	{emote: Disbelief}
== 1 ==
"001"	{emote: Alarmed}
"002"	{emote: Greetings}
"003"	{emote: Alarmed}
"004"	{emote: Greetings}
"005"	{emote: Greetings}
"006"	{emote: Alarmed}
"007"	{emote: Alarmed}
"008"	{emote: Alarmed}
"009"	{emote: Surprise}
"010"	{emote: Surprise}
"011"	{emote: Greetings}
"012"	{emote: Disbelief}
== 2 ==
"001"	{emote: Greetings}
"002"	{emote: Greetings}
"003"	{emote: Alarmed}
"004"	{emote: Greetings}
"005"	{emote: Greetings}
"006"	{emote: Alarmed}
"007"	{emote: Alarmed}
"008"	{emote: Alarmed}
"009"	{emote: Surprise}
"010"	{emote: Surprise}
"011"	{emote: Greetings}
"012"	{emote: Disbelief}
== 3 ==
"001"	{emote: Alarmed}
"002"	{emote: Greetings}
"003"	{emote: Alarmed}
"004"	{emote: Greetings}
"005"	{emote: Greetings}
"006"	{emote: Alarmed}
"007"	{emote: Alarmed}
"008"	{emote: Alarmed}
"009"	{emote: Surprise}
"010"	{emote: Surprise}
"011"	{emote: Greetings}
"012"	{emote: Disbelief}
== 4 ==
"001"	{emote: Alarmed}
"002"	{emote: Greetings}
"003"	{emote: Alarmed}
"004"	{emote: Greetings}
"005"	{emote: Greetings}
"006"	{emote: Alarmed}
"007"	{emote: Alarmed}
"008"	{emote: Alarmed}
"009"	{emote: Surprise}
"010"	{emote: Surprise}
"011"	{emote: Greetings}
"012"	{emote: Disbelief}
