== 0 ==
"001"	{emote: Greetings}
"002"	{emote: Greetings}
"003"	{emote: Alarmed}
"004"	{emote: Sunny}
"005"	{emote: Alarmed}
"006"	{emote: Greetings}
"007"	{emote: Alarmed}
"008"	{emote: Alarmed}
"009"	{emote: Greetings}
"010"	{emote: Alarmed}
"011"	{emote: Alarmed}
== 1 ==
"001"	{emote: Greetings}
"002"	{emote: Greetings}
"003"	{emote: Alarmed}
"004"	{emote: Sunny}
"005"	{emote: Alarmed}
"006"	{emote: Greetings}
"007"	{emote: Alarmed}
"008"	{emote: Alarmed}
"009"	{emote: Greetings}
"010"	{emote: Alarmed}
"011"	{emote: Alarmed}
== 2 ==
"001"	{emote: Greetings}
"002"	{emote: Greetings}
"003"	{emote: Alarmed}
"004"	{emote: Sunny}
"005"	{emote: Alarmed}
"006"	{emote: Greetings}
"007"	{emote: Greetings}
"008"	{emote: Alarmed}
"009"	{emote: Greetings}
"010"	{emote: Alarmed}
"011"	{emote: Alarmed}
== 3 ==
"001"	{emote: Greetings}
"002"	{emote: Greetings}
"003"	{emote: Alarmed}
"004"	{emote: Sunny}
"005"	{emote: Alarmed}
"006"	{emote: Greetings}
"007"	{emote: Alarmed}
"008"	{emote: Alarmed}
"009"	{emote: Greetings}
"010"	{emote: Alarmed}
"011"	{emote: Alarmed}
== 4 ==
"001"	{emote: Greetings}
"002"	{emote: Greetings}
"003"	{emote: Alarmed}
"004"	{emote: Sunny}
"005"	{emote: Greetings}
"006"	{emote: Greetings}
"007"	{emote: Alarmed}
"008"	{emote: Alarmed}
"009"	{emote: Greetings}
"010"	{emote: Alarmed}
"011"	{emote: Alarmed}
