== 0 ==
"001"	{emote: Thought}
"002"	{emote: Shocked}
"003"	{emote: Thought}
"004"	{emote: Thought}
"005"	{emote: Agreement}
"006"	{emote: Shocked}
"007"	{emote: Worry}
"008"	{emote: Agreement}
"009"	{emote: Greetings}
"010"	{emote: Greetings}
"011"	{emote: Thought}
== 1 ==
"001"	{emote: Thought}
"002"	{emote: Shocked}
"003"	{emote: Thought}
"004"	{emote: Thought}
"005"	{emote: Worry}
"006"	{emote: Shocked}
"007"	{emote: Worry}
"008"	{emote: Agreement}
"009"	{emote: Greetings}
"010"	{emote: Greetings}
"011"	{emote: Thought}
== 2 ==
"001"	{emote: Thought}
"002"	{emote: Shocked}
"003"	{emote: Thought}
"004"	{emote: Thought}
"005"	{emote: Worry}
"006"	{emote: Shocked}
"007"	{emote: Worry}
"008"	{emote: Agreement}
"009"	{emote: Greetings}
"010"	{emote: Greetings}
"011"	{emote: Thought}
== 3 ==
"001"	{emote: Thought}
"002"	{emote: Shocked}
"003"	{emote: Thought}
"004"	{emote: Thought}
"005"	{emote: Worry}
"006"	{emote: Shocked}
"007"	{emote: Worry}
"008"	{emote: Agreement}
"009"	{emote: Greetings}
"010"	{emote: Greetings}
"011"	{emote: Thought}
== 4 ==
"001"	{emote: Thought}
"002"	{emote: Shocked}
"003"	{emote: Thought}
"004"	{emote: Thought}
"005"	{emote: Worry}
"006"	{emote: Shocked}
"007"	{emote: Worry}
"008"	{emote: Agreement}
"009"	{emote: Greetings}
"010"	{emote: Greetings}
"011"	{emote: Thought}
