== 0 ==
"001"	{emote: Flourish}
"002"	{emote: Love}
"003"	{emote: Alarmed}
"004"	{emote: Thought}
"005"	{emote: Surprise}
"006"	{emote: Alarmed}
"007"	{emote: Alarmed}
"008"	{emote: Alarmed}
"009"	{emote: Happiness}
"010"	{emote: Reset}
== 1 ==
"001"	{emote: Flourish}
"002"	{emote: Love}
"003"	Pues antes estaba yo pescando	tan pancha{pause 8}
"004"	{emote: Thought}
"005"	{emote: Surprise}
"006"	Hace un rato vi un árbol que me	llamó mucho la atención y me puse	a sacudirlo.	{emote: Happiness}
"007"	¡Eh, escucha! Hace un ratejo {emote: Alarmed}
"008"	{emote: Alarmed}
"009"	{emote: Happiness}
"010"	{emote: Reset}
== 2 ==
"001"	{emote: Flourish}
"002"	{emote: Love}
"003"	{emote: Alarmed}
"004"	{emote: Thought}
"005"	{emote: Surprise}
"006"	{emote: Alarmed}
"007"	{emote: Alarmed}
"008"	{emote: Alarmed}
"009"	{emote: Happiness}
"010"	{emote: Reset}
== 3 ==
"001"	{emote: Flourish}
"002"	{emote: Love}
"003"	{emote: Alarmed}
"004"	{emote: Thought}
"005"	{emote: Surprise}
"006"	{emote: Alarmed}
"007"	{emote: Alarmed}
"008"	{emote: Alarmed}
"009"	{emote: Happiness}
"010"	{emote: Reset}
== 4 ==
"001"	{emote: Flourish}
"002"	{emote: Love}
"003"	{emote: Alarmed}
"004"	{emote: Thought}
"005"	{emote: Surprise}
"006"	{emote: Alarmed}
"007"	{emote: Alarmed}
"008"	{emote: Alarmed}
"009"	{emote: Happiness}
"010"	{emote: Reset}
