== 0 ==
"001"	{emote: Inspired}
"002"	{emote: Worry}
"003"	{emote: Disbelief}
"004"	{emote: Alarmed}
"005"	{emote: Alarmed}
"006"	{emote: Agreement}
"007"	{emote: Alarmed}
"008"	{emote: Shocked}
"009"	{emote: Shocked}
"010"	{emote: Thought}
"011"	{emote: Resigned}
"012"	{emote: Alarmed}
== 1 ==
"001"	{emote: Inspired}
"002"	{emote: Worry}
"003"	{emote: Disbelief}
"004"	{emote: Alarmed}
"005"	{emote: Alarmed}
"006"	{emote: Agreement}
"007"	{emote: Alarmed}
"008"	{emote: Shocked}
"009"	{emote: Shocked}
"010"	{emote: Thought}
"011"	{emote: Resigned}
"012"	{emote: Alarmed}
== 2 ==
"001"	{emote: Inspired}
"002"	{emote: Worry}
"003"	{emote: Disbelief}
"004"	{emote: Alarmed}
"005"	{emote: Alarmed}
"006"	{emote: Agreement}
"007"	{emote: Alarmed}
"008"	{emote: Shocked}
"009"	{emote: Shocked}
"010"	{emote: Thought}
"011"	{emote: Resigned}
"012"	{emote: Alarmed}
== 3 ==
"001"	{emote: Inspired}
"002"	{emote: Worry}
"003"	{emote: Disbelief}
"004"	{emote: Alarmed}
"005"	{emote: Alarmed}
"006"	{emote: Agreement}
"007"	{emote: Alarmed}
"008"	{emote: Shocked}
"009"	{emote: Shocked}
"010"	{emote: Thought}
"011"	{emote: Resigned}
"012"	{emote: Alarmed}
== 4 ==
"001"	{emote: Inspired}
"002"	{emote: Worry}
"003"	{emote: Disbelief}
"004"	{emote: Alarmed}
"005"	{emote: Alarmed}
"006"	{emote: Agreement}
"007"	{emote: Alarmed}
"008"	{emote: Shocked}
"009"	{emote: Shocked}
"010"	{Gray}({emote: Thought}
"011"	{emote: Alarmed}
"012"	{emote: Alarmed}
