== 0 ==
"001"	{emote: Surprise}
"002"	{emote: Surprise}
"003"	{emote: Surprise}
"004"	{emote: Inspired}
"005"	{emote: Disbelief}
"006"	{emote: Disbelief}
"007"	{emote: Alarmed}
"008"	{emote: Agreement}
"009"	{emote: Disbelief}
"010"	{emote: Resigned}
"011"	{emote: Distress}
"012"	{emote: Resigned}
== 1 ==
"001"	{emote: Surprise}
"002"	{emote: Surprise}
"003"	{emote: Surprise}
"004"	{emote: Inspired}
"005"	{emote: Disbelief}
"006"	{emote: Disbelief}
"007"	{emote: Alarmed}
"008"	{emote: Agreement}
"009"	{emote: Disbelief}
"010"	{emote: Resigned}
"011"	{emote: Distress}
"012"	{emote: Resigned}
== 2 ==
"001"	{emote: Surprise}
"002"	{emote: Surprise}
"003"	{emote: Surprise}
"004"	{emote: Inspired}
"005"	{emote: Disbelief}
"006"	{emote: Disbelief}
"007"	{emote: Alarmed}
"008"	{emote: Agreement}
"009"	{emote: Disbelief}
"010"	{emote: Resigned}
"011"	{emote: Distress}
"012"	{emote: Laughter}
== 3 ==
"001"	{emote: Surprise}
"002"	{emote: Surprise}
"003"	{emote: Surprise}
"004"	{emote: Shocked}
"005"	{emote: Disbelief}
"006"	{emote: Disbelief}
"007"	{emote: Alarmed}
"008"	{emote: Agreement}
"009"	{emote: Disbelief}
"010"	{emote: Resigned}
"011"	{emote: Distress}
"012"	{emote: Laughter}
== 4 ==
"001"	{emote: Surprise}
"002"	{emote: Surprise}
"003"	{emote: Surprise}
"004"	{emote: Inspired}
"005"	{emote: Disbelief}
"006"	{emote: Disbelief}
"007"	{emote: Bashful}
"008"	{emote: Agreement}
"009"	{emote: Disbelief}
"010"	{emote: Resigned}
"011"	{emote: Distress}
"012"	{emote: Resigned}
