== 0 ==
"001"	{emote: Alarmed}
"002"	{emote: Alarmed}
"003"	{emote: Alarmed}
"004"	{emote: Alarmed}
"005"	{emote: Alarmed}
"006"	{emote: Alarmed}
"007"	{emote: Alarmed}
"008"	{emote: Surprise}
"009"	{emote: Alarmed}
"010"	{emote: Worry}
== 1 ==
"001"	{emote: Alarmed}
"002"	{emote: Alarmed}
"003"	{emote: Alarmed}
"004"	{emote: Alarmed}
"005"	{emote: Alarmed}
"006"	{emote: Alarmed}
"007"	{emote: Alarmed}
"008"	{emote: Surprise}
"009"	{emote: Alarmed}
"010"	{emote: Worry}
== 2 ==
"001"	{emote: Alarmed}
"002"	{emote: Alarmed}
"003"	{emote: Alarmed}
"004"	{emote: Alarmed}
"005"	{emote: Alarmed}
"006"	{emote: Alarmed}
"007"	{emote: Alarmed}
"008"	{emote: Surprise}
"009"	{emote: Alarmed}
"010"	{emote: Worry}
== 3 ==
"001"	{emote: Alarmed}
"002"	{emote: Alarmed}
"003"	{emote: Alarmed}
"004"	{emote: Alarmed}
"005"	{emote: Alarmed}
"006"	{emote: Alarmed}
"007"	{emote: Alarmed}
"008"	{emote: Surprise}
"009"	{emote: Alarmed}
"010"	{emote: Worry}
== 4 ==
"001"	{emote: Surprise}
"002"	{emote: Surprise}
"003"	{emote: Disbelief}
"004"	{emote: Pride}
"005"	{emote: Surprise}
"006"	{emote: Shocked}
"007"	{emote: Disbelief}
"008"	{emote: Surprise}
"009"	{emote: Alarmed}
"010"	{emote: Worry}
