== 0 ==
"001"	{emote: Happiness}
"002"	{emote: Happiness}
"003"	{emote: Surprise}
"004"	{emote: Happiness}
"005"	{emote: Disbelief}
"006"	{emote: Greetings}
"007"	{emote: Happiness}
"008"	{emote: Happiness}
"009"	{emote: Greetings}
"010"	{emote: Sleepy}
"011"	{emote: Happiness}
== 1 ==
"001"	{emote: Happiness}
"002"	{emote: Happiness}
"003"	{emote: Surprise}
"004"	{emote: Happiness}
"005"	{emote: Disbelief}
"006"	{emote: Greetings}
"007"	{emote: Happiness}
"008"	{emote: Happiness}
"009"	{emote: Greetings}
"010"	{emote: Sleepy}
"011"	{emote: Happiness}
== 2 ==
"001"	{emote: Happiness}
"002"	{emote: Happiness}
"003"	{emote: Surprise}
"004"	{emote: Happiness}
"005"	{emote: Disbelief}
"006"	{emote: Greetings}
"007"	{emote: Happiness}
"008"	{emote: Happiness}
"009"	{emote: Greetings}
"010"	{emote: Sleepy}
"011"	{emote: Happiness}
== 3 ==
"001"	{emote: Happiness}
"002"	{emote: Happiness}
"003"	{emote: Surprise}
"004"	{emote: Happiness}
"005"	{emote: Disbelief}
"006"	{emote: Greetings}
"007"	{emote: Happiness}
"008"	{emote: Happiness}
"009"	{emote: Greetings}
"010"	{emote: Sleepy}
"011"	{emote: Happiness}
== 4 ==
"001"	{emote: Happiness}
"002"	{emote: Happiness}
"003"	{emote: Surprise}
"004"	{emote: Happiness}
"005"	{emote: Disbelief}
"006"	{emote: Greetings}
"007"	{emote: Happiness}
"008"	{emote: Happiness}
"009"	{emote: Greetings}
"010"	{emote: Sleepy}
"011"	{emote: Happiness}
