== 0 ==
"001"	{emote: Greetings}
"002"	{emote: Sleepy}
"003"	{emote: Happiness}
"004"	{emote: Happiness}
"005"	{emote: Happiness}
"006"	{emote: Happiness}
"007"	{emote: Happiness}
"008"	{emote: Greetings}
"009"	{emote: Happiness}
== 1 ==
"001"	{emote: Greetings}
"002"	{emote: Sleepy}
"003"	{emote: Happiness}
"004"	{emote: Happiness}
"005"	{emote: Happiness}
"006"	{emote: Happiness}
"007"	{emote: Happiness}
"008"	{emote: Greetings}
"009"	{emote: Happiness}
== 2 ==
"001"	{emote: Greetings}
"002"	{emote: Sleepy}
"003"	{emote: Happiness}
"004"	{emote: Worry}
"005"	{emote: Happiness}
"006"	{emote: Happiness}
"007"	{emote: Happiness}
"008"	{emote: Greetings}
"009"	{emote: Happiness}
== 3 ==
"001"	{emote: Greetings}
"002"	{emote: Sleepy}
"003"	{emote: Happiness}
"004"	{emote: Happiness}
"005"	{emote: Happiness}
"006"	{emote: Happiness}
"007"	{emote: Happiness}
"008"	{emote: Greetings}
"009"	{emote: Happiness}
== 4 ==
"001"	{emote: Greetings}
"002"	{emote: Sleepy}
"003"	{emote: Happiness}
"004"	{emote: Happiness}
"005"	{emote: Happiness}
"006"	{emote: Happiness}
"007"	{emote: Happiness}
"008"	{emote: Greetings}
"009"	{emote: Happiness}
