== 0 ==
"001"	{emote: Thought}
"002"	{emote: Sleepy}
"003"	{emote: Happiness}
"004"	{emote: Happiness}
"005"	{emote: Happiness}
"006"	{emote: Happiness}
"007"	{emote: Greetings}
"008"	{emote: Greetings}
"009"	{emote: Happiness}
== 1 ==
"001"	{emote: Thought}
"002"	{emote: Sleepy}
"003"	{emote: Happiness}
"004"	{emote: Happiness}
"005"	{emote: Happiness}
"006"	{emote: Happiness}
"007"	{emote: Greetings}
"008"	{emote: Greetings}
"009"	{emote: Happiness}
== 2 ==
"001"	{emote: Thought}
"002"	{emote: Sleepy}
"003"	{emote: Happiness}
"004"	{emote: Happiness}
"005"	{emote: Happiness}
"006"	{emote: Happiness}
"007"	{emote: Greetings}
"008"	{emote: Greetings}
"009"	{emote: Happiness}
== 3 ==
"001"	{emote: Thought}
"002"	{emote: Sleepy}
"003"	{emote: Happiness}
"004"	{emote: Happiness}
"005"	{emote: Happiness}
"006"	{emote: Happiness}
"007"	{emote: Greetings}
"008"	{emote: Greetings}
"009"	{emote: Happiness}
== 4 ==
"001"	{emote: Thought}
"002"	{emote: Sleepy}
"003"	{emote: Happiness}
"004"	{emote: Happiness}
"005"	{emote: Happiness}
"006"	{emote: Happiness}
"007"	{emote: Greetings}
"008"	{emote: Fearful}
"009"	{emote: Happiness}
