== 0 ==
"001"	{emote: Worry}
"002"	{emote: Sunny}
"003"	{emote: Worry}
"004"	{emote: Worry}
"005"	{emote: Alarmed}
"006"	{emote: Sunny}
"007"	{emote: Alarmed}
"008"	{emote: Agreement}
"009"	{emote: Sigh}
"010"	{emote: Sigh}
"011"	{emote: Worry}
== 1 ==
"001"	{emote: Worry}
"002"	{emote: Sunny}
"003"	{emote: Worry}
"004"	{emote: Worry}
"005"	{emote: Alarmed}
"006"	{emote: Sunny}
"007"	{emote: Alarmed}
"008"	{emote: Agreement}
"009"	{emote: Sigh}
"010"	{emote: Sigh}
"011"	{emote: Worry}
== 2 ==
"001"	{emote: Worry}
"002"	{emote: Sunny}
"003"	{emote: Worry}
"004"	{emote: Worry}
"005"	{emote: Alarmed}
"006"	{emote: Sunny}
"007"	{emote: Alarmed}
"008"	{emote: Agreement}
"009"	{emote: Sigh}
"010"	{emote: Sigh}
"011"	{emote: Worry}
== 3 ==
"001"	{emote: Worry}
"002"	{emote: Sunny}
"003"	{emote: Worry}
"004"	{emote: Worry}
"005"	{emote: Alarmed}
"006"	{emote: Sunny}
"007"	{emote: Alarmed}
"008"	{emote: Agreement}
"009"	{emote: Worry}
"010"	{emote: Sigh}
"011"	{emote: Thought}
== 4 ==
"001"	{emote: Worry}
"002"	{emote: Sunny}
"003"	{emote: Worry}
"004"	{emote: Worry}
"005"	{emote: Alarmed}
"006"	{emote: Sunny}
"007"	{emote: Alarmed}
"008"	{emote: Agreement}
"009"	{emote: Sigh}
"010"	{emote: Sigh}
"011"	{emote: Worry}
