== 0 ==
"001"	{emote: Glee}
"002"	{emote: Happiness}
"003"	{emote: Worry}
"004"	{emote: Worry}
"005"	{emote: Distress}
"006"	{emote: Happiness}
"007"	{emote: Happiness}
"008"	{emote: Worry}
== 1 ==
"001"	{emote: Glee}
"002"	{emote: Happiness}
"003"	{emote: Worry}
"004"	{emote: Worry}
"005"	{emote: Distress}
"006"	{emote: Happiness}
"007"	{emote: Happiness}
"008"	{emote: Worry}
== 2 ==
"001"	{emote: Glee}
"002"	{emote: Happiness}
"003"	{emote: Worry}
"004"	{emote: Worry}
"005"	{emote: Distress}
"006"	{emote: Happiness}
"007"	{emote: Happiness}
"008"	{emote: Worry}
== 3 ==
"001"	{emote: Glee}
"002"	{emote: Happiness}
"003"	{emote: Worry}
"004"	{emote: Worry}
"005"	{emote: Distress}
"006"	{emote: Happiness}
"007"	{emote: Happiness}
"008"	{emote: Worry}
== 4 ==
"001"	{emote: Glee}
"002"	{emote: Happiness}
"003"	{emote: Worry}
"004"	{emote: Worry}
"005"	{emote: Distress}
"006"	{emote: Happiness}
"007"	{emote: Happiness}
"008"	{emote: Worry}
