== 0 ==
"001"	{emote: Sneezing}
"002"	Ugh{pause 8}
"003"	{emote: Sadness}
"004"	{emote: Fearful}
"005"	{emote: Sadness}
"006"	{emote: Worry}
"007"	{emote: Joy}
"008"	{emote: Sorrow}
"009"	Ugh!{pause 20}
== 1 ==
"001"	{emote: Sneezing}
"002"	Ay{pause 8}
"003"	{emote: Sadness}
"004"	{emote: Fearful}
"005"	{emote: Sadness}
"006"	{emote: Worry}
"007"	{emote: Joy}
"008"	{emote: Sorrow}
"009"	¡Ay!{pause 20}
== 2 ==
"001"	{emote: Sneezing}
"002"	Oohohh{pause 8}!
"003"	{emote: Sadness}
"004"	{emote: Fearful}
"005"	{emote: Sadness}
"006"	{emote: Worry}
"007"	{emote: Joy}
"008"	{emote: Sorrow}
"009"	AAaeeuuurrggghhh...{pause 20}
== 3 ==
"001"	{emote: Sneezing}
"002"	Oh{pause 8}
"003"	{emote: Sadness}
"004"	{emote: Fearful}
"005"	{emote: Sadness}
"006"	{emote: Worry}
"007"	{emote: Joy}
"008"	{emote: Sorrow}
"009"	Uffa!{pause 20}
== 4 ==
"001"	{emote: Sneezing}
"002"	Oje...{pause 20}!
"003"	{emote: Sadness}
"004"	{emote: Fearful}
"005"	{emote: Sadness}
"006"	{emote: Worry}
"007"	{emote: Joy}
"008"	{emote: Sorrow}
"009"	Mein Bauch tut so weh, dass ich	{000e-0008-0026-00-ffffffcd-0c-00-6d-00-65-00-69-00-6e-00-65-00-6e-00-0a-00-6d-00-65-00-69-00-6e-00-65-00-08-00-6d-00-65-00-69-00-6e-00} {0005-0010-0002-00-00}
