== 0 ==
"001"	{emote: Distress}
"002"	{emote: Curious}
"003"	{emote: Mistaken}
"004"	{emote: Happiness}
"005"	{emote: Greetings}
"006"	{emote: Greetings}
"007"	{emote: Happiness}
"008"	{emote: Glee}
"009"	{emote: Thought}
"010"	{emote: Sadness}
== 1 ==
"001"	{emote: Distress}
"002"	{emote: Curious}
"003"	{emote: Mistaken}
"004"	{emote: Happiness}
"005"	{emote: Greetings}
"006"	{emote: Greetings}
"007"	{emote: Happiness}
"008"	{emote: Glee}
"009"	{emote: Thought}
"010"	{emote: Sadness}
== 2 ==
"001"	{emote: Distress}
"002"	{emote: Greetings}
"003"	{emote: Mistaken}
"004"	{emote: Greetings}
"005"	{emote: Greetings}
"006"	{emote: Greetings}
"007"	{emote: Happiness}
"008"	{emote: Glee}
"009"	{emote: Thought}
"010"	{emote: Sadness}
== 3 ==
"001"	{emote: Distress}
"002"	{emote: Curious}
"003"	{emote: Mistaken}
"004"	{emote: Happiness}
"005"	{emote: Greetings}
"006"	{emote: Greetings}
"007"	{emote: Happiness}
"008"	{emote: Glee}
"009"	{emote: Thought}
"010"	{emote: Sneezing}
== 4 ==
"001"	{emote: Distress}
"002"	{emote: Curious}
"003"	{emote: Mistaken}
"004"	{emote: Greetings}
"005"	{emote: Greetings}
"006"	{emote: Greetings}
"007"	{emote: Happiness}
"008"	{emote: Glee}
"009"	{emote: Thought}
"010"	Ha{emote: Sneezing}
