== 0 ==
"001"	{emote: Happiness}
"002"	{emote: Happiness}
"003"	{emote: Happiness}
"004"	{emote: Happiness}
"005"	{emote: Happiness}
"006"	{emote: Surprise}
"007"	{emote: Surprise}
"008"	{emote: Happiness}
"009"	{emote: Happiness}
"010"	{emote: Happiness}
"011"	{emote: Surprise}
== 1 ==
"001"	{emote: Happiness}
"002"	{emote: Happiness}
"003"	{emote: Happiness}
"004"	{emote: Happiness}
"005"	{emote: Happiness}
"006"	{emote: Surprise}
"007"	{emote: Surprise}
"008"	{emote: Happiness}
"009"	{emote: Happiness}
"010"	{emote: Happiness}
"011"	{emote: Surprise}
== 2 ==
"001"	{emote: Happiness}
"002"	{emote: Happiness}
"003"	{emote: Happiness}
"004"	{emote: Happiness}
"005"	{emote: Happiness}
"006"	{emote: Surprise}
"007"	{emote: Surprise}
"008"	{emote: Happiness}
"009"	{emote: Happiness}
"010"	{emote: Happiness}
"011"	{emote: Surprise}
== 3 ==
"001"	{emote: Happiness}
"002"	{emote: Happiness}
"003"	{emote: Happiness}
"004"	{emote: Happiness}
"005"	{emote: Happiness}
"006"	{emote: Surprise}
"007"	{emote: Surprise}
"008"	{emote: Happiness}
"009"	{emote: Happiness}
"010"	{emote: Happiness}
"011"	{emote: Surprise}
== 4 ==
"001"	{emote: Happiness}
"002"	{emote: Happiness}
"003"	{emote: Happiness}
"004"	{emote: Happiness}
"005"	{emote: Happiness}
"006"	{emote: Surprise}
"007"	{emote: Surprise}
"008"	{emote: Happiness}
"009"	{emote: Happiness}
"010"	{emote: Happiness}
"011"	{emote: Surprise}
