== 0 ==
"001"	{emote: Happiness}
"002"	{emote: Happiness}
"003"	{emote: Happiness}
"004"	{emote: Happiness}
"005"	{emote: Happiness}
"006"	{emote: Happiness}
"007"	{emote: Happiness}
"008"	{emote: Happiness}
"009"	{emote: Happiness}
"010"	{emote: Happiness}
"011"	{emote: Happiness}
== 1 ==
"001"	{emote: Happiness}
"002"	{emote: Happiness}
"003"	{emote: Happiness}
"004"	{emote: Happiness}
"005"	{emote: Happiness}
"006"	{emote: Happiness}
"007"	{emote: Happiness}
"008"	{emote: Happiness}
"009"	{emote: Happiness}
"010"	{emote: Happiness}
"011"	{emote: Happiness}
== 2 ==
"001"	{emote: Happiness}
"002"	{emote: Happiness}
"003"	{emote: Happiness}
"004"	{emote: Happiness}
"005"	{emote: Happiness}
"006"	{emote: Happiness}
"007"	{emote: Happiness}
"008"	{emote: Happiness}
"009"	{emote: Happiness}
"010"	{emote: Happiness}
"011"	{emote: Happiness}
== 3 ==
"001"	{emote: Happiness}
"002"	{emote: Happiness}
"003"	{emote: Happiness}
"004"	{emote: Happiness}
"005"	{emote: Happiness}
"006"	{emote: Happiness}
"007"	{emote: Happiness}
"008"	{emote: Happiness}
"009"	{emote: Happiness}
"010"	{emote: Happiness}
"011"	{emote: Happiness}
== 4 ==
"001"	{emote: Happiness}
"002"	{emote: Happiness}
"003"	{emote: Happiness}
"004"	{emote: Happiness}
"005"	{emote: Happiness}
"006"	{emote: Happiness}
"007"	{emote: Happiness}
"008"	{emote: Happiness}
"009"	{emote: Happiness}
"010"	{emote: Happiness}
"011"	{emote: Happiness}
