== 0 ==
"001"	{emote: Happiness}
"002"	{emote: Glee}
"003"	{emote: Thought}
"004"	{emote: Thought}
"005"	{emote: Happiness}
"006"	{emote: Glee}
"007"	{emote: Glee}
"008"	{emote: Glee}
== 1 ==
"001"	{emote: Happiness}
"002"	{emote: Soft Smile}
"003"	{emote: Thought}
"004"	{emote: Thought}
"005"	{emote: Happiness}
"006"	{emote: Glee}
"007"	{emote: Glee}
"008"	{emote: Glee}
== 2 ==
"001"	{emote: Happiness}
"002"	{emote: Glee}
"003"	{emote: Thought}
"004"	{emote: Thought}
"005"	{emote: Happiness}
"006"	{emote: Glee}
"007"	{emote: Glee}
"008"	{emote: Glee}
== 3 ==
"001"	{emote: Happiness}
"002"	{emote: Glee}
"003"	{emote: Thought}
"004"	{emote: Thought}
"005"	{emote: Happiness}
"006"	{emote: Glee}
"007"	{emote: Glee}
"008"	{emote: Glee}
== 4 ==
"001"	{emote: Happiness}
"002"	{emote: Glee}
"003"	{emote: Thought}
"004"	{emote: Thought}
"005"	{emote: Happiness}
"006"	{emote: Glee}
"007"	{emote: Glee}
"008"	{emote: Glee}
