== 0 ==
"001"	{emote: Glee}
"002"	{emote: Happiness}
"003"	{pause 8}
"004"	{emote: Surprise}
"005"	{emote: Thought}
"006"	{emote: Agreement}
"007"	{emote: Glee}
"008"	{emote: Worry}
== 1 ==
"001"	{emote: Glee}
"002"	{emote: Happiness}
"003"	{emote: Mistaken}
"004"	{emote: Surprise}
"005"	{emote: Thought}
"006"	{emote: Agreement}
"007"	{emote: Glee}
"008"	{emote: Worry}
== 2 ==
"001"	{emote: Glee}
"002"	{emote: Happiness}
"003"	{emote: Mistaken}
"004"	{emote: Surprise}
"005"	{emote: Thought}
"006"	{emote: Agreement}
"007"	{emote: Glee}
"008"	{emote: Worry}
== 3 ==
"001"	{emote: Glee}
"002"	{emote: Happiness}
"003"	{pause 8}
"004"	{emote: Surprise}
"005"	{emote: Thought}
"006"	{emote: Agreement}
"007"	{emote: Glee}
"008"	{emote: Worry}
== 4 ==
"001"	{emote: Glee}
"002"	{emote: Happiness}
"003"	{emote: Mistaken}
"004"	{emote: Surprise}
"005"	{emote: Thought}
"006"	{emote: Agreement}
"007"	{emote: Glee}
"008"	{emote: Worry}
