== 0 ==
"001"	{emote: Sadness}
"002"	{emote: Sigh}
"003"	{emote: Worry}
"004"	{emote: Sneezing}
"005"	{emote: Fearful}
"006"	{emote: Sadness}
"007"	{emote: Fearful}
"008"	{emote: Sneezing}
"009"	{emote: Sneezing}
== 1 ==
"001"	{emote: Sadness}
"002"	{emote: Sigh}
"003"	{emote: Worry}
"004"	{emote: Sneezing}
"005"	{emote: Fearful}
"006"	{emote: Sadness}
"007"	{emote: Fearful}
"008"	{emote: Sneezing}
"009"	{emote: Sneezing}
== 2 ==
"001"	{emote: Sadness}
"002"	{emote: Sigh}
"003"	{emote: Worry}
"004"	{emote: Sneezing}
"005"	{emote: Fearful}
"006"	{emote: Sadness}
"007"	{emote: Fearful}
"008"	{emote: Sneezing}
"009"	{emote: Sneezing}
== 3 ==
"001"	{emote: Sadness}
"002"	{emote: Sigh}
"003"	{emote: Worry}
"004"	{emote: Sneezing}
"005"	{emote: Fearful}
"006"	{emote: Sadness}
"007"	{emote: Fearful}
"008"	{emote: Sneezing}
"009"	{emote: Sneezing}
== 4 ==
"001"	{emote: Sadness}
"002"	{emote: Sigh}
"003"	{emote: Worry}
"004"	{emote: Sneezing}
"005"	{emote: Fearful}
"006"	{emote: Sadness}
"007"	{emote: Fearful}
"008"	{emote: Sneezing}
"009"	{emote: Sneezing}
