== 0 ==
"001"	{emote: Worry}
"002"	{emote: Worry}
"003"	{emote: Worry}
"004"	{emote: Sadness}
"005"	{emote: Worry}
"006"	{emote: Sigh}
"007"	{emote: Sigh}
"008"	{emote: Sadness}
"009"	{emote: Sadness}
== 1 ==
"001"	{emote: Worry}
"002"	{emote: Worry}
"003"	{emote: Worry}
"004"	{emote: Sadness}
"005"	{emote: Worry}
"006"	{emote: Sigh}
"007"	{emote: Sigh}
"008"	{emote: Sadness}
"009"	{emote: Sadness}
== 2 ==
"001"	{emote: Worry}
"002"	{emote: Worry}
"003"	{emote: Worry}
"004"	{emote: Sadness}
"005"	{emote: Worry}
"006"	{emote: Sigh}
"007"	{emote: Sigh}
"008"	{emote: Sadness}
"009"	{emote: Sadness}
== 3 ==
"001"	{emote: Worry}
"002"	{emote: Worry}
"003"	{emote: Worry}
"004"	{emote: Sadness}
"005"	{emote: Worry}
"006"	{emote: Sigh}
"007"	{emote: Sigh}
"008"	{emote: Sadness}
"009"	{emote: Sadness}
== 4 ==
"001"	{emote: Worry}
"002"	{emote: Worry}
"003"	{emote: Worry}
"004"	{emote: Sadness}
"005"	{emote: Worry}
"006"	{emote: Sigh}
"007"	{emote: Sigh}
"008"	{emote: Sadness}
"009"	{emote: Sadness}
