== 0 ==
"001"	{emote: Surprise}
"002"	{emote: Happiness}
"003"	{emote: Surprise}
"004"	{emote: Happiness}
"005"	{emote: Surprise}
"006"	{emote: Happiness}
"007"	{emote: Surprise}
"008"	{emote: Happiness}
"009"	{emote: Happiness}
"010"	{emote: Surprise}
== 1 ==
"001"	{emote: Surprise}
"002"	{emote: Happiness}
"003"	{emote: Surprise}
"004"	{emote: Happiness}
"005"	{emote: Surprise}
"006"	{emote: Happiness}
"007"	{emote: Surprise}
"008"	{emote: Happiness}
"009"	{emote: Happiness}
"010"	{emote: Surprise}
== 2 ==
"001"	{emote: Surprise}
"002"	{emote: Happiness}
"003"	{emote: Surprise}
"004"	{emote: Happiness}
"005"	{emote: Surprise}
"006"	{emote: Happiness}
"007"	{emote: Surprise}
"008"	{emote: Happiness}
"009"	{emote: Happiness}
"010"	{emote: Surprise}
== 3 ==
"001"	{emote: Surprise}
"002"	{emote: Happiness}
"003"	{emote: Surprise}
"004"	{emote: Happiness}
"005"	{emote: Surprise}
"006"	{emote: Happiness}
"007"	{emote: Surprise}
"008"	{emote: Happiness}
"009"	{emote: Happiness}
"010"	{emote: Surprise}
== 4 ==
"001"	{emote: Surprise}
"002"	{emote: Happiness}
"003"	{emote: Surprise}
"004"	{emote: Happiness}
"005"	{emote: Surprise}
"006"	{emote: Happiness}
"007"	{emote: Surprise}
"008"	{emote: Happiness}
"009"	{emote: Happiness}
"010"	{emote: Surprise}
