== 0 ==
"001"	{emote: Surprise}
"002"	{emote: Thought}
"003"	{emote: Glee}
"004"	{emote: Happiness}
"005"	{emote: Happiness}
"006"	{emote: Happiness}
"007"	I...{pause 15}
"008"	{emote: Happiness}
"009"	{emote: Glee}
== 1 ==
"001"	{emote: Surprise}
"002"	{emote: Thought}
"003"	{emote: Glee}
"004"	{emote: Happiness}
"005"	{emote: Flourish}
"006"	{emote: Happiness}
"007"	Tengo...{pause 15}
"008"	{emote: Happiness}
"009"	{emote: Glee}
== 2 ==
"001"	{emote: Surprise}
"002"	{emote: Thought}
"003"	{emote: Glee}
"004"	{emote: Happiness}
"005"	{emote: Glee}
"006"	{emote: Happiness}
"007"	Il...{pause 15}
"008"	{emote: Happiness}
"009"	{emote: Happiness}
== 3 ==
"001"	{emote: Surprise}
"002"	{emote: Thought}
"003"	{emote: Glee}
"004"	{emote: Happiness}
"005"	{emote: Happiness}
"006"	{emote: Happiness}
"007"	Ho...{pause 15}
"008"	{emote: Happiness}
"009"	{emote: Glee}
== 4 ==
"001"	{emote: Surprise}
"002"	{emote: Thought}
"003"	{emote: Glee}
"004"	{emote: Happiness}
"005"	{emote: Happiness}
"006"	{emote: Happiness}
"007"	Ich... {pause 10}
"008"	{emote: Happiness}
"009"	{emote: Glee}
