== 0 ==
"001"	{emote: Fearful}
"002"	{emote: Fearful}
"003"	{emote: Fearful}
"004"	{emote: Fearful}
"005"	{emote: Fearful}
"006"	{emote: Fearful}
"007"	{emote: Sadness}
"008"	{emote: Sadness}
"009"	{emote: Sadness}
== 1 ==
"001"	{emote: Fearful}
"002"	{emote: Fearful}
"003"	{emote: Fearful}
"004"	{emote: Fearful}
"005"	{emote: Fearful}
"006"	{emote: Fearful}
"007"	{emote: Sadness}
"008"	{emote: Sadness}
"009"	{emote: Sadness}
== 2 ==
"001"	{emote: Fearful}
"002"	{emote: Fearful}
"003"	{emote: Fearful}
"004"	{emote: Fearful}
"005"	{emote: Fearful}
"006"	{emote: Fearful}
"007"	{emote: Sadness}
"008"	{emote: Sadness}
"009"	{emote: Sadness}
== 3 ==
"001"	{emote: Fearful}
"002"	{emote: Fearful}
"003"	{emote: Fearful}
"004"	{emote: Fearful}
"005"	{emote: Fearful}
"006"	{emote: Fearful}
"007"	{emote: Sadness}
"008"	{emote: Sadness}
"009"	{emote: Sadness}
== 4 ==
"001"	{emote: Fearful}
"002"	{emote: Fearful}
"003"	{emote: Fearful}
"004"	{emote: Fearful}
"005"	{emote: Fearful}
"006"	{emote: Fearful}
"007"	{emote: Sadness}
"008"	{emote: Sadness}
"009"	{emote: Sadness}
