== 0 ==
"001"	{emote: Greetings}
"002"	{emote: Greetings}
"003"	{emote: Greetings}
"004"	{emote: Sunny}
"005"	{emote: Greetings}
"006"	{emote: Greetings}
"007"	{emote: Happiness}
"008"	{emote: Greetings}
"009"	{emote: Surprise}
"010"	{emote: Happiness}
"011"	{emote: Greetings}
== 1 ==
"001"	{emote: Greetings}
"002"	{emote: Greetings}
"003"	{emote: Greetings}
"004"	{emote: Sunny}
"005"	{emote: Greetings}
"006"	{emote: Greetings}
"007"	{emote: Happiness}
"008"	{emote: Greetings}
"009"	{emote: Surprise}
"010"	{emote: Happiness}
"011"	{emote: Greetings}
== 2 ==
"001"	{emote: Greetings}
"002"	{emote: Greetings}
"003"	{emote: Greetings}
"004"	{emote: Sunny}
"005"	{emote: Greetings}
"006"	{emote: Greetings}
"007"	{emote: Happiness}
"008"	{emote: Greetings}
"009"	{emote: Surprise}
"010"	{emote: Happiness}
"011"	{emote: Greetings}
== 3 ==
"001"	{emote: Greetings}
"002"	{emote: Greetings}
"003"	{emote: Greetings}
"004"	{emote: Sunny}
"005"	{emote: Greetings}
"006"	{emote: Greetings}
"007"	{emote: Happiness}
"008"	{emote: Greetings}
"009"	{emote: Surprise}
"010"	{emote: Happiness}
"011"	{emote: Greetings}
== 4 ==
"001"	{emote: Greetings}
"002"	{emote: Greetings}
"003"	{emote: Greetings}
"004"	{emote: Sunny}
"005"	{emote: Greetings}
"006"	{emote: Greetings}
"007"	{emote: Happiness}
"008"	{emote: Greetings}
"009"	{emote: Surprise}
"010"	{emote: Happiness}
"011"	{emote: Greetings}
