== 0 ==
"001"	{emote: Happiness}
"002"	{emote: Greetings}
"003"	{emote: Greetings}
"004"	{emote: Greetings}
"005"	{emote: Greetings}
"006"	{emote: Happiness}
"007"	{emote: Glare}
"008"	{emote: Greetings}
"009"	{emote: Greetings}
== 1 ==
"001"	{emote: Happiness}
"002"	{emote: Greetings}
"003"	{emote: Greetings}
"004"	{emote: Greetings}
"005"	{emote: Greetings}
"006"	{emote: Happiness}
"007"	{emote: Glare}
"008"	{emote: Greetings}
"009"	{emote: Greetings}
== 2 ==
"001"	{emote: Happiness}
"002"	{emote: Greetings}
"003"	{emote: Greetings}
"004"	{emote: Greetings}
"005"	{emote: Greetings}
"006"	{emote: Happiness}
"007"	{emote: Glare}
"008"	{emote: Greetings}
"009"	{emote: Greetings}
== 3 ==
"001"	{emote: Happiness}
"002"	{emote: Greetings}
"003"	{emote: Greetings}
"004"	{emote: Greetings}
"005"	{emote: Greetings}
"006"	{emote: Happiness}
"007"	{emote: Glare}
"008"	{emote: Greetings}
"009"	{emote: Greetings}
== 4 ==
"001"	{emote: Happiness}
"002"	{emote: Greetings}
"003"	{emote: Greetings}
"004"	{emote: Greetings}
"005"	{emote: Greetings}
"006"	{emote: Happiness}
"007"	{emote: Glare}
"008"	{pause 40}
"009"	{emote: Greetings}
