== 0 ==
"001"	{emote: Alarmed}
"002"	{emote: Happiness}
"003"	{emote: Happiness}
"004"	{emote: Curious}
"005"	{emote: Curious}
"006"	{emote: Happiness}
"007"	{emote: Happiness}
"008"	{emote: Happiness}
"009"	{emote: Laughter}
"010"	{emote: Alarmed}
"011"	{emote: Laughter}
"012"	{emote: Sunny}
== 1 ==
"001"	{emote: Alarmed}
"002"	{emote: Happiness}
"003"	{emote: Happiness}
"004"	{emote: Curious}
"005"	{emote: Curious}
"006"	{emote: Happiness}
"007"	{emote: Happiness}
"008"	{emote: Happiness}
"009"	{emote: Laughter}
"010"	{emote: Alarmed}
"011"	{emote: Laughter}
"012"	{emote: Sunny}
== 2 ==
"001"	{emote: Alarmed}
"002"	{emote: Happiness}
"003"	{emote: Happiness}
"004"	{emote: Curious}
"005"	{emote: Curious}
"006"	{emote: Happiness}
"007"	{emote: Happiness}
"008"	{emote: Happiness}
"009"	{emote: Laughter}
"010"	{emote: Alarmed}
"011"	{emote: Laughter}
"012"	{emote: Sunny}
== 3 ==
"001"	{emote: Alarmed}
"002"	{emote: Happiness}
"003"	{emote: Happiness}
"004"	{emote: Curious}
"005"	{emote: Curious}
"006"	{emote: Happiness}
"007"	{emote: Happiness}
"008"	{emote: Happiness}
"009"	{emote: Laughter}
"010"	{emote: Alarmed}
"011"	{emote: Laughter}
"012"	{emote: Sunny}
== 4 ==
"001"	{emote: Alarmed}
"002"	{emote: Greetings}
"003"	{emote: Happiness}
"004"	{emote: Curious}
"005"	{emote: Curious}
"006"	{emote: Happiness}
"007"	{emote: Happiness}
"008"	{emote: Happiness}
"009"	{emote: Laughter}
"010"	{emote: Alarmed}
"011"	{emote: Laughter}
"012"	{emote: Sunny}
