== 0 ==
"001"	{emote: Glee}
"002"	{emote: Showmanship}
"003"	{emote: Disbelief}
"004"	{emote: Curious}
"005"	{emote: Shocked}
"006"	{emote: Happiness}
"007"	{emote: Glee}
"008"	{emote: Worry}
== 1 ==
"001"	{emote: Glee}
"002"	{emote: Showmanship}
"003"	{emote: Disbelief}
"004"	{emote: Curious}
"005"	{emote: Shocked}
"006"	{emote: Happiness}
"007"	{emote: Glee}
"008"	{emote: Worry}
== 2 ==
"001"	{emote: Glee}
"002"	{emote: Showmanship}
"003"	{emote: Disbelief}
"004"	{emote: Curious}
"005"	{emote: Shocked}
"006"	{emote: Happiness}
"007"	{emote: Glee}
"008"	{emote: Worry}
== 3 ==
"001"	{emote: Glee}
"002"	{emote: Showmanship}
"003"	{emote: Disbelief}
"004"	{emote: Curious}
"005"	{emote: Shocked}
"006"	{emote: Happiness}
"007"	{emote: Glee}
"008"	{emote: Worry}
== 4 ==
"001"	{emote: Glee}
"002"	{emote: Showmanship}
"003"	{emote: Disbelief}
"004"	{emote: Curious}
"005"	{emote: Shocked}
"006"	{emote: Happiness}
"007"	{emote: Glee}
"008"	{emote: Worry}
