== 0 ==
"001"	{emote: Thought}
"002"	{emote: Sadness}
"003"	{emote: Worry}
"004"	{emote: Sneezing}
"005"	{emote: Fearful}
"006"	{emote: Worry}
"007"	{0000-0002-0002-64-00}{emote: Sneezing}
"008"	Ugh{pause 8}
"009"	{emote: Sadness}
== 1 ==
"001"	{emote: Thought}
"002"	{emote: Sadness}
"003"	{emote: Worry}
"004"	{emote: Sneezing}
"005"	{emote: Fearful}
"006"	{emote: Worry}
"007"	{0000-0002-0002-64-00}{emote: Sneezing}
"008"	Ay{pause 8}
"009"	{emote: Sadness}
== 2 ==
"001"	{emote: Thought}
"002"	{emote: Sadness}
"003"	{emote: Worry}
"004"	{emote: Sneezing}
"005"	{emote: Fearful}
"006"	{emote: Worry}
"007"	{0000-0002-0002-64-00}{emote: Sneezing}
"008"	Argh{pause 8}
"009"	{emote: Sadness}
== 3 ==
"001"	{emote: Thought}
"002"	{emote: Sadness}
"003"	{emote: Worry}
"004"	{emote: Sneezing}
"005"	{emote: Fearful}
"006"	{emote: Worry}
"007"	{0000-0002-0002-64-00}{emote: Sneezing}
"008"	Ah{pause 8}
"009"	{emote: Sadness}
== 4 ==
"001"	{emote: Thought}
"002"	{emote: Sadness}
"003"	{emote: Worry}
"004"	{emote: Sneezing}
"005"	{emote: Fearful}
"006"	{emote: Worry}
"007"	{0000-0002-0002-64-00}{emote: Sneezing}
"008"	{emote: Sigh}
"009"	{emote: Sadness}
