== 0 ==
"001"	{emote: Surprise}
"002"	{emote: Sunny}
"003"	{pause 8}
"004"	{emote: Alarmed}
"005"	{emote: Alarmed}
"006"	{emote: Agreement}
"007"	{emote: Agreement}
"008"	{emote: Worry}
== 1 ==
"001"	{emote: Surprise}
"002"	{emote: Sunny}
"003"	{emote: Surprise}
"004"	{emote: Alarmed}
"005"	{emote: Alarmed}
"006"	{emote: Agreement}
"007"	{emote: Agreement}
"008"	{emote: Worry}
== 2 ==
"001"	{emote: Surprise}
"002"	{emote: Sunny}
"003"	{pause 8}
"004"	{emote: Alarmed}
"005"	{emote: Alarmed}
"006"	{emote: Agreement}
"007"	{emote: Agreement}
"008"	{emote: Worry}
== 3 ==
"001"	{emote: Surprise}
"002"	{emote: Sunny}
"003"	{pause 8}
"004"	{emote: Alarmed}
"005"	{emote: Alarmed}
"006"	{emote: Agreement}
"007"	{emote: Agreement}
"008"	{emote: Worry}
== 4 ==
"001"	{emote: Happiness}
"002"	{emote: Agreement}
"003"	{emote: Laughter}
"004"	{emote: Alarmed}
"005"	{emote: Alarmed}
"006"	{emote: Agreement}
"007"	{emote: Agreement}
"008"	{emote: Anger}
