== 0 ==
"001"	{emote: Alarmed}
"002"	{emote: Alarmed}
"003"	{emote: Alarmed}
"004"	{emote: Laughter}
"005"	{emote: Reset}
"006"	{emote: Shocked}
"007"	{emote: Happiness}
"008"	{emote: Thought}
"009"	{emote: Anger}
"010"	{emote: Resigned}
"011"	{emote: Happiness}
"012"	{emote: Laughter}
== 1 ==
"001"	{emote: Alarmed}
"002"	{emote: Alarmed}
"003"	{emote: Alarmed}
"004"	{emote: Laughter}
"005"	{emote: Reset}
"006"	{emote: Shocked}
"007"	{emote: Happiness}
"008"	{emote: Thought}
"009"	{emote: Anger}
"010"	{emote: Curious}
"011"	{emote: Happiness}
"012"	{emote: Laughter}
== 2 ==
"001"	{emote: Alarmed}
"002"	{emote: Alarmed}
"003"	{emote: Alarmed}
"004"	{emote: Laughter}
"005"	{emote: Reset}
"006"	{emote: Shocked}
"007"	{emote: Happiness}
"008"	{emote: Thought}
"009"	{emote: Anger}
"010"	{emote: Resigned}
"011"	{emote: Happiness}
"012"	{emote: Laughter}
== 3 ==
"001"	{emote: Alarmed}
"002"	{emote: Alarmed}
"003"	{emote: Alarmed}
"004"	{emote: Laughter}
"005"	{emote: Reset}
"006"	{emote: Shocked}
"007"	{emote: Happiness}
"008"	{emote: Thought}
"009"	{emote: Anger}
"010"	{emote: Resigned}
"011"	{emote: Happiness}
"012"	{emote: Laughter}
== 4 ==
"001"	{emote: Alarmed}
"002"	{emote: Alarmed}
"003"	{emote: Alarmed}
"004"	{emote: Pride}
"005"	{emote: Disbelief}
"006"	{emote: Shocked}
"007"	{emote: Surprise}
"008"	{emote: Laughter}
"009"	{emote: Anger}
"010"	{emote: Resigned}
"011"	{pause 20}
"012"	{emote: Laughter}
