== 0 ==
"001"	{emote: Sneezing}
"002"	{emote: Sigh}
"003"	{emote: Thought}
"004"	{emote: Sneezing}
"005"	{emote: Fearful}
"006"	{emote: Worry}
"007"	{emote: Fearful}
"008"	{emote: Fearful}
"009"	{emote: Fearful}
== 1 ==
"001"	{emote: Sneezing}
"002"	{emote: Sigh}
"003"	{emote: Thought}
"004"	{emote: Sneezing}
"005"	{emote: Fearful}
"006"	{emote: Worry}
"007"	{emote: Fearful}
"008"	{emote: Fearful}
"009"	{emote: Fearful}
== 2 ==
"001"	{emote: Sneezing}
"002"	{emote: Sigh}
"003"	{emote: Thought}
"004"	{emote: Sneezing}
"005"	{emote: Fearful}
"006"	{emote: Worry}
"007"	{emote: Fearful}
"008"	{emote: Fearful}
"009"	{emote: Fearful}
== 3 ==
"001"	{emote: Sneezing}
"002"	{emote: Sigh}
"003"	{emote: Thought}
"004"	{emote: Sneezing}
"005"	{emote: Fearful}
"006"	{emote: Worry}
"007"	{emote: Fearful}
"008"	{emote: Fearful}
"009"	{emote: Fearful}
== 4 ==
"001"	{emote: Sneezing}
"002"	{emote: Sigh}
"003"	{emote: Worry}
"004"	{emote: Sneezing}
"005"	{emote: Fearful}
"006"	{emote: Worry}
"007"	{emote: Fearful}
"008"	{emote: Fearful}
"009"	{emote: Fearful}
