== 0 ==
"001"	{emote: Surprise}
"002"	{emote: Curious}
"003"	{emote: Curious}
"004"	{emote: Curious}
"005"	{emote: Alarmed}
"006"	{emote: Alarmed}
"007"	{emote: Surprise}
"008"	{emote: Happiness}
"009"	{emote: Anger}
"010"	{emote: Sigh}
== 1 ==
"001"	{emote: Surprise}
"002"	{emote: Curious}
"003"	{emote: Curious}
"004"	{emote: Curious}
"005"	{emote: Alarmed}
"006"	{emote: Alarmed}
"007"	{emote: Surprise}
"008"	{emote: Happiness}
"009"	{emote: Anger}
"010"	{emote: Sigh}
== 2 ==
"001"	{emote: Surprise}
"002"	{emote: Curious}
"003"	{emote: Curious}
"004"	{emote: Curious}
"005"	{emote: Alarmed}
"006"	{emote: Alarmed}
"007"	{emote: Surprise}
"008"	{emote: Happiness}
"009"	{emote: Curious}
"010"	{emote: Sigh}
== 3 ==
"001"	{emote: Surprise}
"002"	{emote: Curious}
"003"	{emote: Curious}
"004"	{emote: Curious}
"005"	{emote: Alarmed}
"006"	{emote: Alarmed}
"007"	{emote: Surprise}
"008"	{emote: Happiness}
"009"	{emote: Anger}
"010"	{emote: Sigh}
== 4 ==
"001"	{emote: Aggravation}
"002"	{emote: Surprise}
"003"	{emote: Anger}
"004"	{emote: Curious}
"005"	{emote: Alarmed}
"006"	{emote: Alarmed}
"007"	{emote: Surprise}
"008"	{emote: Disbelief}
"009"	{emote: Aggravation}
"010"	{emote: Sigh}
