== 0 ==
"001"	{emote: Curious}
"002"	{emote: Alarmed}
"003"	{emote: Surprise}
"004"	{emote: Happiness}
"005"	{emote: Greetings}
"006"	{emote: Alarmed}
"007"	{emote: Alarmed}
"008"	{emote: Alarmed}
"009"	{emote: Anger}
"010"	{emote: Sigh}
== 1 ==
"001"	{emote: Curious}
"002"	{emote: Alarmed}
"003"	{emote: Surprise}
"004"	{emote: Happiness}
"005"	{emote: Greetings}
"006"	{emote: Alarmed}
"007"	{emote: Alarmed}
"008"	{emote: Alarmed}
"009"	{emote: Anger}
"010"	{emote: Sigh}
== 2 ==
"001"	{emote: Curious}
"002"	{emote: Alarmed}
"003"	{emote: Surprise}
"004"	{emote: Happiness}
"005"	{emote: Greetings}
"006"	{emote: Alarmed}
"007"	{emote: Alarmed}
"008"	{emote: Alarmed}
"009"	{emote: Anger}
"010"	{emote: Sigh}
== 3 ==
"001"	{emote: Curious}
"002"	{emote: Alarmed}
"003"	{emote: Surprise}
"004"	{emote: Happiness}
"005"	{emote: Greetings}
"006"	{emote: Alarmed}
"007"	{emote: Alarmed}
"008"	{emote: Alarmed}
"009"	{emote: Anger}
"010"	{emote: Sigh}
== 4 ==
"001"	{emote: Aggravation}
"002"	{emote: Surprise}
"003"	{emote: Anger}
"004"	{emote: Curious}
"005"	{emote: Alarmed}
"006"	{emote: Alarmed}
"007"	{emote: Surprise}
"008"	{emote: Disbelief}
"009"	{emote: Aggravation}
"010"	{emote: Sigh}
