== 0 ==
"001"	{emote: Alarmed}
"002"	{emote: Alarmed}
"003"	{emote: Alarmed}
"004"	{emote: Love}
"005"	{emote: Worry}
"006"	{emote: Worry}
"007"	{emote: Alarmed}
"008"	{emote: Worry}
"009"	{emote: Worry}
"010"	{emote: Worry}
"011"	{emote: Anger}
"012"	{emote: Sigh}
== 1 ==
"001"	{emote: Alarmed}
"002"	{emote: Alarmed}
"003"	{emote: Alarmed}
"004"	{emote: Love}
"005"	{emote: Worry}
"006"	{emote: Worry}
"007"	{emote: Alarmed}
"008"	{emote: Worry}
"009"	{emote: Worry}
"010"	{emote: Surprise}
"011"	{emote: Resigned}
"012"	{emote: Sigh}
== 2 ==
"001"	{emote: Alarmed}
"002"	{emote: Alarmed}
"003"	{emote: Alarmed}
"004"	{emote: Love}
"005"	{emote: Worry}
"006"	{emote: Worry}
"007"	{emote: Alarmed}
"008"	{emote: Worry}
"009"	{emote: Worry}
"010"	{emote: Surprise}
"011"	{emote: Resigned}
"012"	{emote: Sheepishness}
== 3 ==
"001"	{emote: Alarmed}
"002"	{emote: Alarmed}
"003"	{emote: Alarmed}
"004"	{emote: Love}
"005"	{emote: Worry}
"006"	{emote: Worry}
"007"	{emote: Alarmed}
"008"	{emote: Worry}
"009"	{emote: Worry}
"010"	{emote: Worry}
"011"	{emote: Anger}
"012"	{emote: Sigh}
== 4 ==
"001"	{emote: Alarmed}
"002"	{emote: Alarmed}
"003"	{emote: Alarmed}
"004"	{emote: Love}
"005"	{emote: Worry}
"006"	{emote: Worry}
"007"	{emote: Alarmed}
"008"	{emote: Worry}
"009"	{emote: Worry}
"010"	{emote: Worry}
"011"	{emote: Resigned}
"012"	{emote: Sheepishness}
