== 0 ==
"001"	{emote: HotWithSleeves}
"002"	{emote: Worry}
"003"	{emote: Worry}
"004"	{emote: Fearful}
"005"	{emote: Fearful}
"006"	{emote: Fearful}
"007"	{emote: Sigh}
"008"	{emote: Fearful}
"009"	{emote: HotWithSleeves}
== 1 ==
"001"	{emote: HotWithSleeves}
"002"	{emote: Worry}
"003"	{emote: Worry}
"004"	{emote: Fearful}
"005"	{emote: Fearful}
"006"	{emote: Fearful}
"007"	{emote: Sigh}
"008"	{emote: Fearful}
"009"	{emote: HotWithSleeves}
== 2 ==
"001"	{emote: HotWithSleeves}
"002"	{emote: Worry}
"003"	{emote: Worry}
"004"	{emote: Fearful}
"005"	{emote: Fearful}
"006"	{emote: Fearful}
"007"	{emote: Sigh}
"008"	{emote: Fearful}
"009"	{emote: HotWithSleeves}
== 3 ==
"001"	{emote: HotWithSleeves}
"002"	{emote: Worry}
"003"	{emote: Worry}
"004"	{emote: Fearful}
"005"	{emote: Fearful}
"006"	{emote: Fearful}
"007"	{emote: Sigh}
"008"	{emote: Fearful}
"009"	{emote: HotWithSleeves}
== 4 ==
"001"	{emote: HotWithSleeves}
"002"	{emote: Worry}
"003"	{emote: Worry}
"004"	{emote: Fearful}
"005"	{emote: Fearful}
"006"	{emote: Fearful}
"007"	{emote: Sigh}
"008"	{emote: Fearful}
"009"	{emote: HotWithSleeves}
