== 0 ==
"001"	～タイムサービスの　おしらせ～	ほんじつ、ごご{0004-0010-0002-cd00}じからは	ぜんぴん　はんがくの	タイムサービスと　なりまーす！	ごらいてん　おまちしてまーす！	　　　　　　　まめつぶしょうてん
"002"	～おきゃくさまへ　ごあんない～	ほんじつ　ごご{0004-0010-0002-cd00}じからは	タイムサービスと　なりまーす！	はんがくの　このチャンスに	ぜひ、ごらいてん　くださーい！	　　　　　　　まめつぶしょうてん
"003"	～きんきゅう　こくち！～	きょうは　とってもめずらしい	{0011-0003-0002-0000}が	にゅうか　しました！	このチャンスを　おみのがしなく！	　　　　　　　まめつぶしょうてん
"004"	～きんきゅう　こくち！～	ほんじつ、まぼろしの	{0011-0003-0002-0000}が	きんきゅう　にゅうか！	ごらいてん　おまちしてまーす！	　　　　　　　まめつぶしょうてん
"005"	～かいそうの　ごあんない～	このたび　おみせを	かいちく　することになりました！	{0004-000e-0002-cd00}がつ　{Date-cd00}にちは	おやすみさせて　いただきます。	　　　　　　　まめつぶしょうてん
"006"	～おやすみの　ごあんない～	{0004-000e-0002-cd00}がつ　{Date-cd00}にち、	おみせの　かいちくこうじのため	コンビニまめつぶは	りんじきゅうぎょうと　なります。	　　　　　　　まめきち・つぶきち
"007"	～おきゃくさまへ　おしらせ～	おかげさまで　スーパーまめつぶは	より　おおきなおみせに	うまれかわることに　なりました！	こうじのため、{0004-000e-0002-cd00}がつ{Date-cd00}にちは	りんじきゅうぎょうとなります。
"008"	～ホームセンターまめつぶより～	みなさまの　ごあいこのおかげで	さらに　おおきなおみせに	かいちくすることに　なりました！	{0004-000e-0002-cd00}がつ　{Date-cd00}にちは	おやすみさせていただきます。
"009"	～コンビニまめつぶ　OPEN!～	ほんじつ、まめつぶしょうてんが	「コンビニまめつぶ」として	リニューアルオープンしました！	しょうてんがいに　おこしのさいは	ぜひ、おたちよりください！
"010"	～スーパーまめつぶより～	ほんじつ、リニューアルオープンの	はこびと　なりました！	より　しなぞろえのゆたかな	おみせと　なりましたので、	ぜひ　ごらいてんください！
"011"	～おきゃくさまへ　おしらせ～	ほんじつ、しょうてんがいに	ホームセンターまめつぶが	オープンいたしました！	たくさんの　おきゃくさまの	おこしを　おまちしています！
"012"	～まめつぶデパートより～	まめつぶデパート、ほんじつ	えいぎょうかいし　いたしました！	{Town name (pink)}しょうてんがいの	シンボルとして　あいされるよう	いっそう　どりょくいたします！
"013"	～タイムサービスの　おしらせ～	ほんじつ、ごご{0004-0010-0002-cd00}じより	ぜんぴん　はんがくの	タイムサービス！！	ごらいてん　おまちしてまーす！	　　　　　　　　コンビニまめつぶ
"014"	～おきゃくさまへ　ごあんない～	ほんじつ　ごご{0004-0010-0002-cd00}じからは	タイムサービスと　なりまーす！	はんがくの　このチャンスに	ぜひ、ごらいてん　くださーい！	　　　　　　　　コンビニまめつぶ
"015"	～きんきゅう　こくち！～	きょうは　とってもめずらしい	{0011-0003-0002-0000}が	にゅうか　しました！	このチャンスを　おみのがしなく！	　　　　　　　　コンビニまめつぶ
"016"	～きんきゅう　こくち！～	ほんじつ、まぼろしの	{0011-0003-0002-0000}が	きんきゅう　にゅうか！	ごらいてん　おまちしてまーす！	　　　　　　　　コンビニまめつぶ
"017"	～タイムサービスの　おしらせ～	ほんじつ、ごご{0004-0010-0002-cd00}じより	ぜんぴん　はんがくの	タイムサービス！！	ごらいてん　おまちしてまーす！	　　　　　　　　スーパーまめつぶ
"018"	～おきゃくさまへ　ごあんない～	ほんじつ　ごご{0004-0010-0002-cd00}じからは	タイムサービスと　なりまーす！	はんがくの　このチャンスに	ぜひ、ごらいてん　くださーい！	　　　　　　　　スーパーまめつぶ
"019"	～きんきゅう　こくち！～	きょうは　とってもめずらしい	{0011-0003-0002-0000}が	にゅうか　しました！	このチャンスを　おみのがしなく！	　　　　　　　　スーパーまめつぶ
"020"	～きんきゅう　こくち！～	ほんじつ、まぼろしの	{0011-0003-0002-0000}が	きんきゅう　にゅうか！	ごらいてん　おまちしてまーす！	　　　　　　　　スーパーまめつぶ
