== 0 ==
"001"	このまえは　じゃましたね！	ぜんぶのへやを　みれなかったのが	ざんねんだけど、	つぎのたのしみに　とっとくよ。	おれいを　おくっておくからね！
"002"	このまえは　ありがとね！	アンタんちの　ひみつのへやは、	もっと　なかよくならないと	はいらせないって　わけかい？！	ってことで、おれいを	おくらせてもらうからね！
"003"	このまえは、おうちほうもん	たのしませてもらったよ。	それにしても　どうやったら	あんなにへやを　ちらかせるわけ？	コレ　あげるから、ちょっとは	かたづけなよ！
"004"	このまえは、サンキュー！	そういえば、	あさってのほうこう　むいたかぐが	かわいそうじゃない？	アンタが　きにしてないなら	いいんだけどね・・・。
"005"	アンタんち、おもしろかったけど、	せいかつかんが　ぜんぜん	ないじゃないか！	これを　へやにおいて、	ちょっとは　マトモな　せいかつ、	おくったらどーだい？
"006"	このまえは　おじゃましたね！	きれいな　へやで	さすがだと　おもったよ。		ウチも　アンタをみならって、	へやのかたづけを　しなきゃだな！
"007"	このまえは、サンキュー！	なんだか　そっけないかべで	さびしくなったり　しないかい？	これを　かざってみれば、	キブンが　かわって	いいとおもうけどね。
"008"	アンタが　コレクターだなんて	しらなかったよ！	ウチには　ちょっと	おちつけないへや　だったなあ。	そんな　アンタが　きにいるか	わかんないけど、コレ　あげるよ。
"009"	このまえ、おじゃましたね。	アンタんちの　ゴージャスさに	あたまが　クラクラしちゃったよ。		いいもの　みせてもらった	おれいを、おくらせてもらうよ。
"010"	がらんとしたへやで　くらしてて	かぜとおしは　よさそうだけど、	ちょっと　そっけなくないかい？		ウチの　おススメ　アイテムを	つかってみたら　どーだい？
"011"	このまえは　じゃましたね！	アンタみたいに	ゴチャっとした　へやだったな。	これをあげるから、かたづけして	あしの　ふみばを	つくったら　どーだい？
"012"	このまえは　とつぜん	おじゃまして、せわになったね。	たのしませてもらったよ！		アンタが　よければ、また	あそびにいかせて　おくれよ！
