== 0 ==
"001"	こないだは　ジャマしたね。	まだ　キミのいえには	みちのへやが　あるようだね。	このプレゼントを　おくるから	こんどは　みせてもらえるかな？
"002"	このまえは　ジャマしたね。	はいれないへやには、いったい	なにを　かくしているんだい？	そんな　なぞめいたキミには、	これを　プレゼントするよ。
"003"	こないだは　ジャマしたね。	みだれた　キミのへやを　みてたら	むねが　はりさけそうになったよ。	おせっかいかもしれないけど、	コレをおくるよ。これで　すこしは	かたづくんじゃないかな？
"004"	このまえは　とつぜん	たずねたりして　わるかったね。	ところで、キミって　ざんしんな	かぐのおきかたを　するんだね。	そんなキミには　これを、	ぜひ　ためしてほしい・・・。
"005"	こないだは　ジャマしたね！	よけいな　おせわかもしれないけど	キミのへやに　たりないものを	おくるよ、うけとってほしい。	ヒトが　いきていくには	ひつようなものさ・・・。
"006"	このまえは　とつぜん	たずねたりして　わるかったね。	おわびといっては　なんだけど	これを　キミにおくるよ。	キミのせいかつに　ちょっとした	スパイスをね・・・。
"007"	こないだは　ジャマしたね！	よけいな　おせわかもしれないけど	なんだか　へやのかべが	さびしそうだったから、コレでも	かざったらどうかと　おもってね。	よかったら　ためしてほしい。
"008"	このまえは　とつぜん	たずねたりして　わるかったね。	おわびといっては　なんだけど、	これを　キミにおくるよ。	キミの　コレクションの	なかまに　なれるかな？
"009"	こないだは　ジャマしたね！	よけいな　おせわかもしれないけど	キミのへやに　フィットしそうな	モノをみつけたから、おくるよ。	きにいって　もらえることを	ねがってる・・・。
"010"	このまえは　とつぜん	たずねたりして　わるかったね。	おわびといっては　なんだけど、	これを　キミにおくるよ。	シンプルな　せいかつをおくる　	キミに、ピッタリのはずだ・・・。
"011"	こないだは　ジャマしたね！	よけいな　おせわかもしれないけど	コレをつかって　すこし　へやを　	かたづけてみたら　どうかな？	きっと　キミのせかいが	かわると　おもうよ・・・。
"012"	このまえは　とつぜん	たずねたりして　わるかったね。	おわびといっては　なんだけど、	これを　キミにおくるよ。	きにいってもらえると	いいんだけれど・・・。
