== 0 ==
""	たくさんのムシを　つかまえた{ruby (charSpan 1): ひと}人が	{ruby (charSpan 1): て}手にする、{ruby (charSpan 2): どりょく}努力の{ruby (charSpan 2): けっしょう}結晶
""	{ruby (charSpan 2): かずおお}数多くの　ムシをつかまえると	{ruby (charSpan 1): え}得られる、アセと{ruby (charSpan 2): どりょく}努力のたまもの
""	{ruby (charSpan 1): き}気が{ruby (charSpan 1): とお}遠くなるほど　{ruby (charSpan 1): おお}多くのムシを	つかまえた{ruby (charSpan 1): ひと}人が{ruby (charSpan 1): え}得られる、{ruby (charSpan 2): えいこう}栄光の{ruby (charSpan 1): あかし}証
""	たくさんのサカナを　{ruby (charSpan 1): つ}釣った{ruby (charSpan 1): ひと}人が	{ruby (charSpan 1): て}手にする、{ruby (charSpan 2): どりょく}努力の{ruby (charSpan 2): けっしょう}結晶
""	{ruby (charSpan 2): かずおお}数多く　サカナを{ruby (charSpan 1): つ}釣ると	{ruby (charSpan 1): え}得られる、アセと{ruby (charSpan 2): どりょく}努力のたまもの
""	{ruby (charSpan 1): き}気が{ruby (charSpan 1): とお}遠くなるほど　{ruby (charSpan 1): おお}多くのサカナを	{ruby (charSpan 1): つ}釣った{ruby (charSpan 1): ひと}人だけが{ruby (charSpan 1): え}得られる、{ruby (charSpan 2): えいこう}栄光の{ruby (charSpan 1): あかし}証
""	たくさんの{ruby (charSpan 1): うみ}海の{ruby (charSpan 1): さち}幸を　とった{ruby (charSpan 1): ひと}人が	{ruby (charSpan 1): て}手にする、{ruby (charSpan 2): どりょく}努力の{ruby (charSpan 2): けっしょう}結晶
""	{ruby (charSpan 2): かずおお}数多く　{ruby (charSpan 1): うみ}海の{ruby (charSpan 1): さち}幸をとった{ruby (charSpan 1): ひと}人だけが	{ruby (charSpan 1): え}得られる、{ruby (charSpan 2): どりょく}努力と{ruby (charSpan 2): こんじょう}根性のたまもの
""	{ruby (charSpan 1): き}気が{ruby (charSpan 1): とお}遠くなるほど　{ruby (charSpan 1): おお}多くの{ruby (charSpan 1): うみ}海の{ruby (charSpan 1): さち}幸を	とった{ruby (charSpan 1): ひと}人だけが{ruby (charSpan 1): え}得られる、{ruby (charSpan 2): えいこう}栄光の{ruby (charSpan 1): あかし}証
""	{ruby (charSpan 1): いろ}色んなムシを　とった{ruby (charSpan 1): ひと}人がもらえる	ムシにちょっとくわしい{ruby (charSpan 1): あかし}証
""	{ruby (charSpan 2): かずおお}数多くの{ruby (charSpan 2): しゅるい}種類の　ムシをとった、	ムシ{ruby (charSpan 3): あいこうか}愛好家の{ruby (charSpan 1): あかし}証
""	{ruby (charSpan 1): すべ}全てのムシを　つかまえた{ruby (charSpan 1): ひと}人だけが	{ruby (charSpan 1): て}手にする、ムシ{ruby (charSpan 3): せんもんか}専門家のシンボル
""	{ruby (charSpan 1): いろ}色んなサカナを　{ruby (charSpan 1): つ}釣った{ruby (charSpan 1): ひと}人が{ruby (charSpan 1): も}持つ、	サカナにちょっとくわしい{ruby (charSpan 1): あかし}証
""	{ruby (charSpan 2): かずおお}数多くの{ruby (charSpan 2): しゅるい}種類の　サカナを{ruby (charSpan 1): つ}釣った、	サカナ{ruby (charSpan 3): あいこうか}愛好家の{ruby (charSpan 1): あかし}証
""	{ruby (charSpan 1): すべ}全てのサカナを　{ruby (charSpan 1): つ}釣った{ruby (charSpan 1): ひと}人だけが	{ruby (charSpan 1): て}手にする、サカナ{ruby (charSpan 3): せんもんか}専門家のシンボル
""	{ruby (charSpan 1): いろ}色んな{ruby (charSpan 1): うみ}海の{ruby (charSpan 1): さち}幸を　とった{ruby (charSpan 1): ひと}人が{ruby (charSpan 1): も}持つ、	{ruby (charSpan 1): うみ}海の{ruby (charSpan 1): さち}幸にちょっとくわしい{ruby (charSpan 1): あかし}証
""	{ruby (charSpan 2): かずおお}数多くの{ruby (charSpan 2): しゅるい}種類の　{ruby (charSpan 1): うみ}海の{ruby (charSpan 1): さち}幸をとった、	{ruby (charSpan 1): うみ}海の{ruby (charSpan 1): さち}幸{ruby (charSpan 3): あいこうか}愛好家の{ruby (charSpan 1): あかし}証
""	{ruby (charSpan 1): すべ}全ての{ruby (charSpan 1): うみ}海の{ruby (charSpan 1): さち}幸を　とった{ruby (charSpan 1): ひと}人だけが	{ruby (charSpan 1): て}手にする、{ruby (charSpan 1): うみ}海の{ruby (charSpan 1): さち}幸{ruby (charSpan 3): せんもんか}専門家のシンボル
""	そこそこの{ruby (charSpan 1): かず}数の{ruby (charSpan 2): ふうせん}風船を{ruby (charSpan 1): わ}割り、	{ruby (charSpan 1): たか}高いパチンコの{ruby (charSpan 1): うで}腕を{ruby (charSpan 1): も}持つ{ruby (charSpan 1): しるし}印
""	パチンコの{ruby (charSpan 1): うで}腕は　かなりのもの、	{ruby (charSpan 2): うでき}腕利き　{ruby (charSpan 3): ふうせんわ}風船割りの{ruby (charSpan 1): しるし}印
""	{ruby (charSpan 1): わ}割った{ruby (charSpan 2): ふうせん}風船　{ruby (charSpan 1): かず}数{ruby (charSpan 1): し}知れず、	{ruby (charSpan 2): さいこう}最高クラスの　スナイパーの{ruby (charSpan 1): しるし}印
""	{ruby (charSpan 1): しま}島で　メダルをたくさん	{ruby (charSpan 1): て}手に{ruby (charSpan 1): い}入れた{ruby (charSpan 1): ひと}人が{ruby (charSpan 1): え}得られるバッジ
""	{ruby (charSpan 1): しま}島で　かなりの{ruby (charSpan 1): かず}数のメダルを	{ruby (charSpan 1): て}手に{ruby (charSpan 1): い}入れたことを{ruby (charSpan 2): ものがた}物語る　バッジ
