== 0 ==
"001"	{emote: Alarmed}おっ、{Player nickname (green)}じゃないか！{pause 40}	{emote: Reset}こんな{ruby (charSpan 1): はや}早くから　おでかけして{ruby (charSpan 1): き}来たの？		{emote: Soft Smile}{ruby (charSpan 2): きょう}今日は　{ruby (charSpan 2): げし}夏至だよ！{pause 40}	{emote: Reset}お{ruby (charSpan 2): ひさま}日様は　{ruby (charSpan 2): あした}明日まで　しずまないから、{pause 8}	ゆっくり　{ruby (charSpan 1): たの}楽しんでって！　{pause 20}{catchphrase}！
"002"	{emote: Happiness}いらっしゃい、{Player nickname (green)}！{pause 40}	{emote: Reset}アンタが{ruby (charSpan 1): く}来ると　{ruby (charSpan 1): おも}思って	{ruby (charSpan 2): はやお}早起きして　{ruby (charSpan 1): ま}待ってたんだ！	{pause 8}・{pause 8}・{pause 8}・{pause 20}{emote: Happiness}っていうのは　ウソだけど{pause 40}	{emote: Soft Smile}{ruby (charSpan 2): きょう}今日は　{ruby (charSpan 2): げし}夏至の{ruby (charSpan 1): ひ}日だし{pause 8}　ワクワクして	{ruby (charSpan 1): お}起きちゃったのさ！　{pause 20}{catchphrase}！
"003"	{emote: Alarmed}おっ、{Player nickname (green)}！{pause 40}	アンタ{ruby (charSpan 1): あさ}朝から　{ruby (charSpan 2): れっしゃ}列車に{ruby (charSpan 1): の}乗って{ruby (charSpan 1): き}来たの？		{emote: Soft Smile}{ruby (charSpan 2): きょう}今日は　{ruby (charSpan 2): げし}夏至だからさ！{pause 20}	アンタが　{ruby (charSpan 1): かえ}帰る{ruby (charSpan 1): ころ}頃まで、きっと	{ruby (charSpan 2): たいよう}太陽{ruby (charSpan 1): で}出てるよ！　{pause 20}{catchphrase}！
"004"	{emote: Alarmed}あっ、ウワサの　{Player nickname (green)}！{pause 40}	{emote: Happiness}{Greeting begin}いらっしゃい！{Greeting end}		{emote: Reset}{ruby (charSpan 2): きょう}今日は　{ruby (charSpan 2): いちねん}一年で　いちばん	{ruby (charSpan 1): ひる}昼が　{ruby (charSpan 1): なが}長い{ruby (charSpan 1): ひ}日だよ！{pause 40}	{emote: Soft Smile}{ruby (charSpan 1): たの}楽しんでって！　{pause 20}{catchphrase}！
"005"	{emote: Alarmed}おっ、{Player nickname (green)}じゃん！{pause 40}	{emote: Happiness}やっぱ　{ruby (charSpan 1): き}来てたんだね！		{emote: Glee}{ruby (charSpan 2): きょう}今日は　{ruby (charSpan 2): げし}夏至の{ruby (charSpan 1): ひ}日さ！{pause 40}	{ruby (charSpan 1): よる}夜になっても　{ruby (charSpan 2): たいよう}太陽が　{ruby (charSpan 1): で}出ずっぱりの、	おめでたい{ruby (charSpan 1): ひ}日　なんだよ！　{pause 20}{catchphrase}！
"006"	{emote: Alarmed}あ、{Player nickname (green)}！{pause 40}	{emote: Happiness}いらっしゃいな～！		{emote: Reset}{ruby (charSpan 2): きょう}今日が　{ruby (charSpan 2): げし}夏至の{ruby (charSpan 1): ひ}日だって　{ruby (charSpan 1): し}知ってて{ruby (charSpan 1): き}来たの？{pause 40}	{emote: Soft Smile}{ruby (charSpan 1): ひ}日が　しずまないから、	{ruby (charSpan 1): よる}夜になっても　{ruby (charSpan 1): あそ}遊べるもんね！　{pause 20}{catchphrase}！
"007"	{emote: Alarmed}あ、{Player nickname (green)}！{pause 40}	{emote: Worry}やだ　いつから{ruby (charSpan 1): き}来てたんだい？{pause 20}		{emote: Reset}まぁ、{ruby (charSpan 2): きょう}今日は　{ruby (charSpan 2): げし}夏至で	{ruby (charSpan 1): よる}夜も　お{ruby (charSpan 2): ひさま}日様　{ruby (charSpan 1): で}出ずっぱりだからね！{pause 20}	{emote: Soft Smile}ゆっくり　{ruby (charSpan 1): あそ}遊んでくといいよ！　{pause 20}{catchphrase}！
"008"	{emote: Alarmed}あれ、{Player nickname (green)}じゃん！{pause 40}	{emote: Soft Smile}{ruby (charSpan 1): し}知らなかったよ！{pause 20}　いつ{ruby (charSpan 1): き}来たの？		{emote: Reset}{ruby (charSpan 2): きょう}今日は　{ruby (charSpan 2): いちねん}一年でいちばん	{ruby (charSpan 2): ひるま}昼間の　{ruby (charSpan 1): なが}長い{ruby (charSpan 1): ひ}日さ{pause 8}・{pause 8}・{pause 8}・{pause 20}{emote: Happiness}だから	{Hour}{ruby (charSpan 1): じ}時でも、{pause 8}まだ　{ruby (charSpan 1): ひる}昼なんだ！　{pause 20}{catchphrase}！
"009"	{emote: Happiness}よっ、いらっしゃい！{pause 20}	{ruby (charSpan 1): いま}今　{ruby (charSpan 1): つ}着いたの？{pause 40}	{emote: Reset}{Town name (pink)}{ruby (charSpan 1): むら}村へ　ようこそ！	{emote: Agreement}{ruby (charSpan 2): きょう}今日は　{ruby (charSpan 2): げし}夏至の{ruby (charSpan 1): ひ}日だからね、	ずっと　{ruby (charSpan 1): あか}明るいんだよ！{pause 40}	{emote: Happiness}ゆっくり　{ruby (charSpan 1): たの}楽しんでいって！　{pause 20}{catchphrase}！
"010"	{emote: Alarmed}あ、{Player nickname (green)}？！{pause 40}	{emote: Happiness}{ruby (charSpan 3): まよなか}真夜中の　{ruby (charSpan 3): ほうもんしゃ}訪問者って{pause 8}・{pause 8}・{pause 8}・{pause 8}	アンタのことだったんだ！	{emote: Reset}まぁ　{ruby (charSpan 3): まよなか}真夜中っていっても	{ruby (charSpan 2): きょう}今日は　{ruby (charSpan 2): げし}夏至の{ruby (charSpan 1): ひ}日だからね！{pause 20}	{emote: Soft Smile}{ruby (charSpan 1): あさ}朝まで　この{ruby (charSpan 1): あか}明るささ！　{pause 20}{catchphrase}！
"011"	{emote: Greetings}{Greeting begin}いらっしゃーい！{Greeting end}{pause 20}	{emote: Reset}{ruby (charSpan 2): しんや}深夜の　{Town name (pink)}{ruby (charSpan 1): むら}村に	ようこそ！	{emote: Agreement}{ruby (charSpan 2): しんや}深夜って　いっても	{ruby (charSpan 2): きょう}今日は　{ruby (charSpan 2): げし}夏至の{ruby (charSpan 1): ひ}日だからね！{pause 20}	{emote: Happiness}{ruby (charSpan 2): たいよう}太陽がずっと　{ruby (charSpan 1): で}出てるんだ！　{pause 20}{catchphrase}！
