== 0 ==
"001"	{emote: Alarmed}おっ、{Player nickname (green)}じゃないか！{pause 20}	こんな　{ruby (charSpan 1): はや}早くから　おでかけ？{Wait for input}	{pause 8}・{pause 8}・{pause 8}・{pause 20}{emote: Reset}って、{pause 8}そんなに　{ruby (charSpan 1): はや}早くもないか？	{emote: Agreement}{ruby (charSpan 1): くら}暗いけど、{ruby (charSpan 2): きょう}今日は　{ruby (charSpan 2): とうじ}冬至だもんね！{pause 40}	{emote: Happiness}きっと　{ruby (charSpan 3): いちにちじゅう}一日中{pause 8}	こんな{ruby (charSpan 1): かん}感じさ！　{pause 20}{catchphrase}！
"002"	{emote: Happiness}いらっしゃい、{Player nickname (green)}！{pause 20}	アンタが{ruby (charSpan 1): く}来ると　{ruby (charSpan 1): おも}思って	{ruby (charSpan 2): はやお}早起きして　{ruby (charSpan 1): ま}待ってたんだ！	{emote: Reset}って、いうのは　ウソだけど{pause 8}・{pause 8}・{pause 8}・{pause 20}	{emote: Happiness}{ruby (charSpan 2): きょう}今日は　お{ruby (charSpan 2): ひさま}日様　のぼらないからね{pause 20}	{ruby (charSpan 2): はやお}早起きした　{ruby (charSpan 2): きぶん}気分なのさ！　{pause 20}{catchphrase}！
"003"	{emote: Alarmed}おっ、{Player nickname (green)}！{pause 20}	アンタ{ruby (charSpan 1): あさ}朝から　{ruby (charSpan 2): れっしゃ}列車に　{ruby (charSpan 1): の}乗って{ruby (charSpan 1): き}来たの？		{emote: Happiness}{ruby (charSpan 2): きょう}今日は　{ruby (charSpan 2): とうじ}冬至で	お{ruby (charSpan 2): ひさま}日様が　のぼらないからね{pause 8}・{pause 8}・{pause 8}・{pause 20}{emote: Glee}{ruby (charSpan 3): いちにちじゅう}一日中	{ruby (charSpan 1): よる}夜の　{Town name (pink)}{ruby (charSpan 1): むら}村だよ！　{pause 20}{catchphrase}！
"004"	{emote: Alarmed}あっ、ウワサの　{Player nickname (green)}！{pause 40}	{emote: Happiness}{Greeting begin}いらっしゃい！{Greeting end}		{emote: Reset}{ruby (charSpan 2): きょう}今日は　{ruby (charSpan 2): とうじ}冬至で	{ruby (charSpan 2): たいよう}太陽　のぼらないけど{pause 8}・{pause 8}・{pause 8}・{pause 20}	{emote: Happiness}まぁ　{ruby (charSpan 1): たの}楽しんでって！　{pause 20}{catchphrase}！
"005"	{emote: Alarmed}おっ、{Player nickname (green)}じゃん！{pause 40}	{emote: Happiness}やっぱ　{ruby (charSpan 1): き}来てたんだね！		{emote: Reset}{ruby (charSpan 2): きょう}今日は　{ruby (charSpan 2): とうじ}冬至の{ruby (charSpan 1): ひ}日さ！{pause 20}	{emote: Agreement}お{ruby (charSpan 2): ひさま}日様が　{ruby (charSpan 1): で}出てないけど{pause 8}・{pause 8}・{pause 8}・{pause 20}	これでも　{ruby (charSpan 1): ひる}昼なんだよ！　{pause 20}{catchphrase}！
"006"	{emote: Alarmed}あ、{Player nickname (green)}！{pause 40}	{emote: Happiness}いらっしゃいな～！		{emote: Reset}{ruby (charSpan 2): きょう}今日が　{ruby (charSpan 2): とうじ}冬至の{ruby (charSpan 1): ひ}日だって　{ruby (charSpan 1): し}知ってて{ruby (charSpan 1): き}来たの？{pause 40}	{emote: Agreement}{ruby (charSpan 3): いちにちじゅう}一日中　お{ruby (charSpan 2): ひさま}日様　{ruby (charSpan 1): で}出てこないけど	{pause 8}・{pause 8}・{pause 8}・{pause 20}{emote: Soft Smile}まぁ、{ruby (charSpan 1): たの}楽しんでって！　{pause 20}{catchphrase}！
"007"	{emote: Alarmed}あ、{Player nickname (green)}！{pause 40}	{emote: Worry}やだ{pause 8}　いつから{ruby (charSpan 1): き}来てたんだい？{pause 20}		{emote: Reset}{ruby (charSpan 2): きょう}今日は　{ruby (charSpan 2): とうじ}冬至で	お{ruby (charSpan 2): ひさま}日様も　{ruby (charSpan 1): で}出てこないけど{pause 8}・{pause 8}・{pause 8}・{pause 20}	{emote: Soft Smile}まぁ　ゆっくりしてってよ！　{pause 20}{catchphrase}！
"008"	{emote: Alarmed}あれ、{Player nickname (green)}じゃん！{pause 40}	{emote: Soft Smile}{ruby (charSpan 1): し}知らなかったよ！{pause 8}　いつ{ruby (charSpan 1): き}来たの？		{emote: Reset}{ruby (charSpan 2): きょう}今日は　{ruby (charSpan 2): いちねん}一年でいちばん	{ruby (charSpan 2): ひるま}昼間の　{ruby (charSpan 1): みじか}短い{ruby (charSpan 1): ひ}日だからさ、{pause 20}	{emote: Agreement}{ruby (charSpan 1): あさ}朝から　こんな{ruby (charSpan 1): かん}感じなんだ！　{pause 20}{catchphrase}！
"009"	{emote: Greetings}よっ、いらっしゃい！{pause 20}	{ruby (charSpan 1): いま}今　{ruby (charSpan 1): つ}着いたの？{pause 40}	{emote: Reset}{Town name (pink)}{ruby (charSpan 1): むら}村へ　ようこそ！	{emote: Agreement}{ruby (charSpan 2): きょう}今日は　{ruby (charSpan 2): とうじ}冬至の{ruby (charSpan 1): ひ}日だからね、	{ruby (charSpan 1): あさ}朝から　ずっと　こんな{ruby (charSpan 1): かん}感じさ{pause 8}・{pause 8}・{pause 8}・{pause 20}	{emote: Soft Smile}まぁ　{ruby (charSpan 1): たの}楽しんでいって！　{pause 20}{catchphrase}！
"010"	{emote: Alarmed}あ、{Player nickname (green)}？！{pause 40}	{emote: Happiness}{ruby (charSpan 3): まよなか}真夜中の　{ruby (charSpan 3): ほうもんしゃ}訪問者って	アンタのことだったんだ！	{emote: Agreement}まぁ、{pause 8}{ruby (charSpan 3): まよなか}真夜中って　いっても	{ruby (charSpan 2): きょう}今日は　{ruby (charSpan 2): とうじ}冬至の{ruby (charSpan 1): ひ}日だし{pause 8}・{pause 8}・{pause 8}・{pause 20}	{emote: Soft Smile}{ruby (charSpan 1): あさ}朝から　{ruby (charSpan 1): よる}夜みたいだけどね！　{pause 20}{catchphrase}！
"011"	{emote: Greetings}{Greeting begin}いらっしゃーい！{Greeting end}{pause 20}	{emote: Reset}{ruby (charSpan 2): しんや}深夜の　{Town name (pink)}{ruby (charSpan 1): むら}村に	ようこそ！	{emote: Reset}まぁ　{ruby (charSpan 2): しんや}深夜っていっても{pause 8}・{pause 8}・{pause 8}・{pause 20}	{emote: Soft Smile}{ruby (charSpan 2): きょう}今日は　{ruby (charSpan 2): とうじ}冬至の{ruby (charSpan 1): ひ}日だから、{pause 8}	{ruby (charSpan 1): あさ}朝から　{ruby (charSpan 1): よる}夜みたいだけどね！　{pause 20}{catchphrase}！
