== 0 ==
"001"	{emote: Alarmed}わぁ　{Player nickname (green)}？{pause 40}　{emote: Soft Smile}いらっしゃい！{pause 10}	こんな{ruby (charSpan 1): ゆき}雪の{ruby (charSpan 1): あさ}朝は　アンタが	{ruby (charSpan 1): く}来るんじゃないかと　{ruby (charSpan 1): おも}思ってたよ！	{pause 8}・{pause 8}・{pause 8}・{pause 8}{emote: Reset}ウソだけど！　{pause 20}{catchphrase}！
"002"	{emote: Greetings}{Greeting begin}ヤッホー、{Player nickname (green)}！{Greeting end}{pause 40}	{Town name (pink)}{ruby (charSpan 1): むら}村の{ruby (charSpan 1): ゆき}雪　{ruby (charSpan 1): み}見に{ruby (charSpan 1): き}来たの？		{emote: Reset}ウチ？{pause 40}　ウチは　{ruby (charSpan 1): み}見ての{ruby (charSpan 1): とお}通り	{ruby (charSpan 1): ゆき}雪に{ruby (charSpan 1): ま}負けないように、	{ruby (charSpan 2): こんじょう}根性　きたえて{pause 8}・{pause 8}・{pause 8}・{pause 40}{emote: Sneezing}へぷしっ！
"003"	{emote: Alarmed}あれぇ、{Player nickname (green)}じゃんか！{pause 40}	{emote: Reset}なんだか　めずらしいね！		{emote: Joy}アンタも　この{ruby (charSpan 1): ゆき}雪に{ruby (charSpan 1): う}浮かれて	{ruby (charSpan 1): と}飛び{ruby (charSpan 1): だ}出して　きちゃったってワケだ！{pause 20}	{catchphrase}！
"004"	{emote: Greetings}{Greeting begin}よっ、{Player nickname (green)}！{Greeting end}{pause 20}	よく{ruby (charSpan 1): き}来たね！		{emote: Joy}{Town name (pink)}{ruby (charSpan 1): むら}村は　{ruby (charSpan 1): ゆき}雪だぞー{pause 20}	{ruby (charSpan 1): ころ}転ばないように、{ruby (charSpan 1): き}気をつけな！{pause 20}	{catchphrase}！
"005"	{emote: Greetings}よっ！　{Player nickname (green)}！{pause 20}	{0005-0024-0000}に　{ruby (charSpan 1): あ}会いにきたの？		{emote: Reset}{ruby (charSpan 2): きょう}今日は{ruby (charSpan 1): ゆき}雪だし{pause 8}・{pause 8}・{pause 8}・{pause 8}アンタんとこより	{ruby (charSpan 1): さむ}寒いんじゃない？{pause 20}	{emote: Soft Smile}カゼとか　ひかないようにね、{pause 20}{catchphrase}
"006"	{emote: Alarmed}おー、{Player nickname (green)}！{pause 40}	{emote: Soft Smile}フフフ{pause 8}・{pause 8}・{pause 8}・{pause 8}{ruby (charSpan 1): さむ}寒いだろ？{pause 20}	{ruby (charSpan 1): ゆき}雪だからね！	{emote: Reset}ま、{Town name (pink)}{ruby (charSpan 1): むら}村　{ruby (charSpan 2): しゅっしん}出身だったら	これくらいの　{ruby (charSpan 1): さむ}寒さ	なれてるかも　だけどさ{pause 8}・{pause 8}・{pause 8}・{pause 8}{catchphrase}
"007"	{emote: Alarmed}おっ、{Player nickname (green)}じゃん！{pause 20}	いらっしゃい！		{emote: Sheepishness}こんな{ruby (charSpan 1): ひ}日は、{ruby (charSpan 1): うち}家で　おとなしく	{0005-000e-0002-0000}とか　{ruby (charSpan 1): の}飲んでりゃいいのに	{pause 8}・{pause 8}・{pause 8}・{pause 40}アンタも　{ruby (charSpan 2): ものず}物好きだね！{pause 20}　{catchphrase}！
"008"	{emote: Alarmed}あれま、{Player nickname (green)}じゃない？！			{emote: Reset}こんな{ruby (charSpan 2): じかん}時間に　いるってことは{pause 8}・{pause 8}・{pause 8}・{pause 8}	{ruby (charSpan 2): きょう}今日は　{0005-0024-0000}の{ruby (charSpan 1): いえ}家で	おとまり{ruby (charSpan 1): かい}会でも　あるのかい？{pause 20}　{catchphrase}！
"009"	{emote: Surprise}えっ、{Player nickname (green)}？{Wait for input}	{emote: Distress}ば{pause 8}・{pause 8}・{pause 8}・{pause 8}バカ！{pause 20}	{ruby (charSpan 1): ひと}人の{ruby (charSpan 1): むら}村で　なにやってんのさ！	{emote: Sigh}ついに　{ruby (charSpan 2): ゆきおんな}雪女の	お{ruby (charSpan 1): で}出ましかと　{ruby (charSpan 1): おも}思ったよ！{pause 20}　{catchphrase}！
"010"	{emote: Surprise}えっ、{Player nickname (green)}？{Wait for input}	{emote: Distress}ば{pause 8}・{pause 8}・{pause 8}・{pause 8}バカ！{pause 20}	{ruby (charSpan 1): ひと}人の{ruby (charSpan 1): むら}村で　なにやってんのさ！	{emote: Sigh}ついに　{ruby (charSpan 2): ゆきおとこ}雪男を	{ruby (charSpan 1): い}生けどりに　できると	{ruby (charSpan 1): おも}思ったのに！{pause 10}　{catchphrase}！
"011"	{emote: Greetings}{Greeting begin}ヤッホー、{Player nickname (green)}！{Greeting end}{pause 40}	{emote: Reset}{0005-0024-0000}のとこに　{ruby (charSpan 1): き}来たんだろ？		{emote: Soft Smile}この{ruby (charSpan 1): さむ}寒さの{ruby (charSpan 1): なか}中　{ruby (charSpan 2): よなか}夜中まで	バカさわぎとは{pause 8}・{pause 8}・{pause 8}・{pause 8}アンタらの{ruby (charSpan 2): こんじょう}根性	ナメてたよ！{pause 20}　{catchphrase}！
"012"	{emote: Disbelief}うわっ！{pause 40}	{ruby (charSpan 1): だれ}誰かと{ruby (charSpan 1): おも}思ったら{pause 8}・{pause 8}・{pause 8}・{pause 8}{Player nickname (green)}？！		{emote: Happiness}{ruby (charSpan 2): よなか}夜中に　{ruby (charSpan 1): ひと}人の{ruby (charSpan 1): むら}村まで{ruby (charSpan 1): き}来て	{ruby (charSpan 1): ゆき}雪{ruby (charSpan 1): あそ}遊びかい{pause 8}・{pause 8}・{pause 8}・{pause 20}	{ruby (charSpan 2): きあ}気合い　{ruby (charSpan 1): はい}入ってんね！{pause 20}　{catchphrase}！
