== 0 ==
"001"	～타임 세일 알림～	오늘 오후 {0004-0010-0002-cd00}시부터	모든 제품을 반값에 판매하는	타임 세일을 실시합니다!	많이 많이 찾아주세요ー!	　　　　　　　콩돌밤돌 상점
"002"	～손님 여러분께 알립니다～	오늘 오후 {0004-0010-0002-cd00}시부터	타임 세일을 실시합니다!	모두들 잊지 말고 들르셔서	반값의 행운을 잡아보세요ー!	　　　　　　　콩돌밤돌 상점
"003"	～긴급 공지!～	오늘은 무지막지하게 귀하다는	{0011-0003-0002-0000}{000e-000e-0008-0002-c774-0002-ac00}	입고되었습니다!	이 기회를 놓치지 마세요ー!	　　　　　　　콩돌밤돌 상점
"004"	～긴급 공지!～	오늘은 소문으로만 듣던	{0011-0003-0002-0000}{000e-000e-0008-0002-c774-0002-ac00}	입고되었습니다!	지금 바로 오세요ー!	　　　　　　　콩돌밤돌 상점
"005"	～리뉴얼 안내～	여러분의 성원에 힘입어	가게를 증축하게 되었습니다!	{0004-000e-0002-cd00}월 {Date-cd00}일에는 공사를 위해	영업을 쉬오니 양해 바랍니다	　　　　　　　콩돌밤돌 상점
"006"	～휴점 안내～	{0004-000e-0002-cd00}월 {Date-cd00}일에는	가게 증축 공사를 위해	편의점 콩돌밤돌25가	임시 휴점합니다	　　　　　　　콩돌・밤돌
"007"	～고객님께 안내～	여러분의 성원에 힘입어	콩돌밤돌 슈퍼가 새로운	모습으로 다시 태어납니다!	공사를 위해 {0004-000e-0002-cd00}월 {Date-cd00}일은	임시 휴점합니다
"008"	～콩돌밤돌 마트에서 알립니다～	여러분의 사랑에 보답하고자	더욱 넓은 복합 쇼핑 공간으로	재탄생하게 되었습니다!	공사를 위해 {0004-000e-0002-cd00}월 {Date-cd00}일은	영업을 쉬오니 양해 바랍니다
"009"	～편의점 콩돌밤돌25 OPEN!～	오늘부터 콩돌밤돌 상점이	「편의점 콩돌밤돌25」로	새 단장하여 영업을 시작합니다	상점가에 오시면 꼭 들러주세요ー!
"010"	～콩돌밤돌 슈퍼에서 알립니다～	오늘부터 리뉴얼된 매장에서	새롭게 영업을 시작합니다!	풍부한 상품을 갖추고	여러분을 기다리고 있사오니	꼭 들러주시기 바랍니다!
"011"	～손님 여러분께 알립니다～	오늘은 상점가에	콩돌밤돌 마트가	그랜드 오픈하는 날입니다!	여러분의 많은 성원 바랍니다
"012"	～콩돌밤돌 백화점에서 알립니다～	콩돌밤돌 백화점이	오늘부터 영업을 시작합니다!	{Town name (pink)} 마을 상점가의	중심에 우뚝 설 수 있도록	더욱더 노력하겠습니다!
"013"	～타임 세일 알림～	오늘 오후 {0004-0010-0002-cd00}시부터	전 품목을 반값에 드리는	타임 세일을 실시합니다!	많은 성원 부탁드립니다	               편의점 콩돌밤돌25
"014"	～손님 여러분께 알립니다～	오늘 오후 {0004-0010-0002-cd00}시부터	타임 세일을 실시합니다!	바쁘더라도 꼭 오셔서	반값의 행운을 잡아보세요ー!	                 편의점 콩돌밤돌25
"015"	～긴급 공지!～	오늘은 대단히 희귀한	{0011-0003-0002-0000}{000e-000e-0008-0002-c774-0002-ac00}	입고되었습니다!	이 기회를 놓치지 마세요ー!	                 편의점 콩돌밤돌25
"016"	～긴급 공지!～	오늘은 눈이 번쩍 뜨일	{0011-0003-0002-0000}{000e-000e-0008-0002-c774-0002-ac00}	입고되었습니다!	꼭 방문해주시기 바랍니다!	                 편의점 콩돌밤돌25
"017"	～타임 세일 알림～	오늘 오후 {0004-0010-0002-cd00}시부터	전 품목을 반값에 판매하는	타임 세일을 실시합니다!!	많은 성원 바랍니다	                      콩돌밤돌 슈퍼
"018"	～손님 여러분께 알립니다～	오늘 오후 {0004-0010-0002-cd00}시부터	타임 세일을 실시합니다!	잊지 말고 오셔서	반값의 행운을 잡아보세요ー!	                      콩돌밤돌 슈퍼
"019"	～긴급 공지!～	오늘은 무지막지하게 귀하다는	{0011-0003-0002-0000}{000e-000e-0008-0002-c774-0002-ac00}	입고되었습니다!	이 기회를 놓치지 마세요ー!	                      콩돌밤돌 슈퍼
"020"	～긴급 공지!～	오늘은 귀하다고 소문난	{0011-0003-0002-0000}{000e-000e-0008-0002-c774-0002-ac00}	입고되었습니다!	지금 바로 오세요ー!	                      콩돌밤돌 슈퍼
"021"	～타임 세일 알림～	오늘 오후 {0004-0010-0002-cd00}시부터	전 품목을 반값에 판매하는	타임 세일을 실시합니다!	모두 모두 쇼핑하러 오세요ー!	                       콩돌밤돌 마트
"022"	～손님 여러분께 알립니다～	오늘 오후 {0004-0010-0002-cd00}시부터	타임 세일을 실시합니다!	반값에 구매할 수 있는 기회!	놓치시면 후회합니다!	                      콩돌밤돌 마트
"023"	～긴급 공지!～	오늘은 구하기 어렵기로 소문난	{0011-0003-0002-0000}{000e-000e-0008-0002-c774-0002-ac00}	입고되었습니다!	이 기회를 놓치지 마세요ー!	                      콩돌밤돌 마트
"024"	～긴급 공지!～	오늘은 말로만 듣던	{0011-0003-0002-0000}{000e-000e-0008-0002-c774-0002-ac00}	입고되었습니다!	지금 바로 오세요ー!	                      콩돌밤돌 마트
"025"	～타임 세일 알림～	오늘 오후 {0004-0010-0002-cd00}시부터	전 품목을 반값에 판매하는	타임 세일을 실시합니다!!	모두 모두 쇼핑하러 오세요ー!	                     콩돌밤돌 백화점
"026"	～손님 여러분께 알립니다～	오늘 오후 {0004-0010-0002-cd00}시부터	타임 세일을 실시합니다!	반값에 구매할 수 있는 기회!	놓치지 말고 방문하세요ー!	                     콩돌밤돌 백화점
"027"	～긴급 공지!～	오늘은 구하기 어렵기로 소문난	{0011-0003-0002-0000}{000e-000e-0008-0002-c774-0002-ac00}	입고되었습니다!	이 기회를 놓치지 마세요ー!	                     콩돌밤돌 백화점
"028"	～긴급 공지!～	오늘은 놀랍도록 희귀한 상품인	{0011-0003-0002-0000}{000e-000e-0008-0002-c774-0002-ac00}	입고되었습니다!	모두 모두 쇼핑하러 오세요ー!	                     콩돌밤돌 백화점
