== 0 ==
"001"	얼마 전엔 실례했어.	아직 그대 집에는	미지의 방이 있는 것 같더군.	이 선물 받고, 다음에는	보여줄 거지?
"002"	얼마 전엔 실례했어.	들어갈 수 없던 그 방에는	대체 뭘 숨기고 있는 거야?	비밀스러운 그대에겐	이 선물이 좋겠군.
"003"	얼마 전엔 실례했어.	어질러진 그대 집을 보니	내 가슴이 찢어질 것 같더라.	쓸데없는 참견일지도 모르지만	이걸 줄게. 이거라면	정리할 수 있지 않을까?
"004"	얼마 전엔	갑자기 찾아가서 미안했어.	그런데 그대 집의	가구 배치는 참신하더군.	그런 그대에겐 이게 좋겠어.	꼭 한번 써봐・・・.
"005"	얼마 전엔 실례했어!	쓸데없는 참견일지도 모르지만	그대 집에 부족한 물건을	보내줄게, 받아줘.	사람이 살아가기 위해	필요한 물건이야・・・.
"006"	얼마 전엔 갑자기	찾아가서 미안했어.	보답이라고 하긴 좀 그렇지만	이걸 그대에게 줄게.	그대의 일상에 조그마한	자극이 되길・・・.
"007"	얼마 전엔 실례했어!	쓸데없는 참견일지도 모르지만	왠지 그대 집의 벽이	너무 쓸쓸해보였어. 이거라도	걸어 두는 게 좋지 않을까?	괜찮으면 한번 써봐.
"008"	얼마 전엔 갑자기	찾아가서 미안했어.	보답이라고 하긴 좀 그렇지만	이걸 그대에게 줄게.	그대 컬렉션의 한자리를	차지할 수 있을까?
"009"	얼마 전엔 실례했어!	쓸데없는 참견일지도 모르지만	그대 집에 딱 어울릴 만한	물건을 발견해서 사봤어.	꼭 그대 마음에 들길	기도할게・・・.
"010"	얼마 전엔 갑자기	찾아가서 미안했어.	보답이라고 하긴 좀 그렇지만	이걸 그대에게 줄게.	심플한 생활을 즐기는	그대에게 딱 맞을 거야・・・.
"011"	얼마 전엔 실례했어!	쓸데없는 참견일지도 모르지만	이걸 사용해서 집을 좀	정리해보는게 어떨까?	분명히 세상이	다르게 보일 거야・・・.
"012"	얼마 전엔 갑자기	찾아가서 미안했어.	보답이라고 하긴 좀 그렇지만	이걸 그대에게 줄게.	그대 마음에 들었으면	좋겠다・・・.
