== 0 ==
"m01"	외동아들
"m02"	쌍둥이 중 형
"m03"	쌍둥이 중 동생
"m04"	세쌍둥이 중 첫째
"m05"	세쌍둥이 중 둘째
"m06"	세쌍둥이 중 막내
"m07"	형제 중 형
"m08"	형제 중 동생
"m09"	삼 형제 중 첫째
"m0A"	삼 형제 중 둘째
"m0B"	삼 형제 중 막내아들
"m0C"	4형제 중 장남
"m0D"	4형제 중 둘째
"m0E"	4형제 중 셋째
"m0F"	4형제 중 넷째
"m10"	네쌍둥이 중 맏이
"m11"	네쌍둥이 중 둘째
"m12"	네쌍둥이 중 셋째
"m13"	네쌍둥이 중 막내
"m14"	5형제 중 첫째
"m15"	5형제 중 둘째
"m16"	5형제 중 셋째
"m17"	5형제 중 넷째
"m18"	5형제 중 막둥이
"m19"	다섯쌍둥이 중 장남
"m1A"	다섯쌍둥이 중 둘째
"m1B"	다섯쌍둥이 중 셋째
"m1C"	다섯쌍둥이 중 넷째
"m1D"	다섯쌍둥이 중 막내
"m1E"	6형제 중 큰아들
"m1F"	6형제 중 둘째
"m20"	6형제 중 셋째
"m21"	6형제 중 넷째
"m22"	6형제 중 다섯째
"m23"	6형제 중 막내
"m24"	7형제
"m25"	8형제
"m26"	9형제
"m27"	10형제
"f01"	외동딸
"f02"	쌍둥이 중 언니
"f03"	쌍둥이 중 동생
"f04"	세쌍둥이 중 맏이
"f05"	세쌍둥이 중 가운데
"f06"	세쌍둥이 중 막내
"f07"	남매 중 누나
"f08"	남매 중 여동생
"f09"	자매 중 언니
"f0A"	자매 중 동생
"f0B"	삼 남매 중 장녀
"f0C"	삼 남매 중 둘째
"f0D"	삼 남매 중 막내딸
"f0E"	세 자매 중 큰딸
"f0F"	세 자매 중 둘째
"f10"	세 자매 중 막내
"f11"	4남매 중 맏이
"f12"	4남매 중 둘째
"f13"	4남매 중 셋째
"f14"	4남매 중 넷째
"f15"	네 자매 중 첫째
"f16"	네 자매 중 둘째
"f17"	네 자매 중 셋째
"f18"	네 자매 중 넷째
"f19"	5남매 중 맏딸
"f1A"	5남매 중 둘째
"f1B"	5남매 중 셋째
"f1C"	5남매 중 넷째
"f1D"	5남매 중 막둥이
"f1E"	6남매 중 큰딸
"f1F"	6남매 중 둘째
"f20"	6남매 중 셋째
"f21"	6남매 중 넷째
"f22"	6남매 중 다섯째
"f23"	6남매 중 막내
"f24"	7남매
"f25"	8남매
"f26"	9남매
"f27"	10남매
