== 0 ==
"alp"	가구를 새롭게 탈바꿈시키는	리폼의 달인 리포는 가끔씩	오토캠핑장에서 기분 전환을 하며	자신도 탈바꿈시킨다.
"alw"	『R・파카즈』에서 손님을 맞이하는	여주인. 리포와는 항상 함께하지만	가～끔 따로 행동하는 게 부부 금실을	유지하는 비결이라고・・・
"bev"	물고기를 엄청 좋아해서 낚시대회를	주최하지만 정작 낚시 실력은・・・	대회가 없을 때는 각지의 오토캠핑장을	돌아다니며 시간을 때운다.
"boa"	무 농사와 장사로 바쁜 나날을	보내고 있지만, 가끔 한가할 때면	캠핑장을 찾아 기분 전환을 한다.
"chm"	곤충을 사랑하는 곤충 마니아로,	곤충채집대회의 주최자.	곤충 연구를 위해 여러 마을의	오토캠핑장을 돌아다니고 있다.
"cml"	머나먼 이국에서 온	바닥&벽지 상인.	시간이 날 때마다 캠핑장을 찾아	기분 전환을 하곤 한다.
"end"	기분 좋은 음악을 들려주는	떠돌이 뮤지션.	캠핑카 안에서 만들어진	곡들도 적지 않다고 한다.
"gst"	넓은 장소나 사람들 앞에 나타나는 걸	꺼리는 자칭 램프의 요정. 아웃도어와는	대칭점에 있는 그가 캠핑을 좋아할 리	만무하다. 뭔가 이유가 있는 듯.
"hgh"	에이블 시스터즈의 마스코트.	두 언니를 매우 좋아하지만,	그녀도 나름대로 힘든 일이 많다.	가끔 이런 재충전이 필요한 모양.
"kpp"	옛날에 택시나 버스를 운전했던 적도	있어서 자동차 운전은 일도 아니다.	「배랑 차의 차이? 차에서 방귀를 뀌면	빨리 창문을 열어야 돼! 그게 다야!」
"lrn"	쌍둥이 너구리 형제 중 동생.	너굴을 동경하는 마음에 「구리」를	자연스럽게 사용하고 싶어 하지만	아직 입에 붙지 않아서 어색하다.
"LRN"	쌍둥이 너구리 형제 중 형.	너굴을 동경하는 마음에 「구리」를	자연스럽게 사용하고 싶어 하지만	아직 입에 붙지 않아서 어색하다.
"mka"	만우절 장난 때문에 못된 이미지가	강하지만 캠핑을 천진난만하게 즐기는	모습을 보고 있으면 의외로・・・	아니, 표정을 읽을 수 없군.
"moo"	리셋 사건 발생이 줄어도 만일을 위해	대기하는 것 또한 중요한 일 중 하나.	힘든 업무를 하는 와중에 시간을 내서	오토캠핑장에서 숨을 고른다.
"otg"	안심해씨의 조카인 만큼 건물과 관련된	지식이 풍부하고 관련 자격증도 많은	자격증 마니아. 하지만 캠핑을 와서는	아무것도 하지 않고 게으름을 피운다.
"owl"	캠핑 자체는 싫어하지 않지만	아웃도어와는 떼려야 뗄 수 없는 게	곤충! 자동차 창문에 붙은 나방을	발견했을 때의 표정은・・・
"ows"	기본적으로 인도어 스타일인	부옥이지만 오토캠핑장은 별개.	낮 시간은 멍하니 보내고, 밤이 되면	천체 관측에 열을 올린다고 한다.
"pck"	1년에 한 번 열리는 「카니발」이	가장 중요한 업무이지만 평소에도	프로 댄서로서 활기차게 각지를 돈다.	가끔 캠핑장에서 재충전을 하는 듯.
"pkn"	10월의 큰 이벤트 할로윈의	주인공으로 존재감을 뽐내는 펌킹도	평소에는 그냥 알뜰하게 사는 듯하다.	일단 옷이 허름하다・・・
"pla"	얼핏 못 미더워 보이지만	겉모습으로 판단할 수 없는 법.	그가 만드는 캠핑 요리는 최고다.	직업을 잘못 고른 걸지도・・・
"plc"	엔진 이상 무! 타이어 마모와 공기압도	이상 무! 브레이크와 가속 페달도	이상 무! 면허증 OK! 손수건 OK!	출발은 언제 하려나・・・
"pyn"	이스터가 아니라고 해서 한가한 건	아니기 때문에 가끔 기분 전환을 하지	않으면 숨이 막힌다고. 탈을 벗으면	된다고? 무슨 소린지 모르겠다.
