== 0 ==
"001"	{0009-0001-0006-04-00-05-00-06-00}
"002"	{000a-0007-000c-07-00-0b-00-0b-00-07-00-07-00-07-00}
"003"	{0009-0001-0006-0e-00-0f-00-10-00}
"004"	{emote: Greetings}
"005"	{emote: Surprise}
"006"	{emote: Soft Smile}
"007"	{0009-0001-0006-08-00-09-00-00-00}	
"008"	{emote: Alarmed}
"009"	{emote: Distress}
"010"	{emote: Surprise}
"011"	{000a-0010-0008-0c-00-0d-00-0c-00-0c-00}
"012"	{emote: Soft Smile}
"013"	{emote: HotWithSleeves}
"014"	{emote: Greetings}
"015"	{emote: Greetings}
"016"	{emote: Greetings}
