== 0 ==
"001"	{emote: Happiness}{Player nickname (green)}{000e-000e-0008-0002-c544-0002-c57c}{pause 15} 안녕～!{Wait for input}{emote: Glee}오늘은	{pause 10}하루 종일 {pause 5}해가 나와 있대!{Wait for input}	완전 기대된당～ {pause 15}{catchphrase}!
"002"	{emote: Happiness}{Greeting begin}얏호ー!{pause 15} {Player nickname (green)}{000e-000e-0008-0002-c544-0002-c57c}{Greeting end}{Wait for input}오늘은 {pause 10}하루 종일 계～속 밝대{Wait for input}	{emote: Thought}밤이 오지 않는다니{pause 8}・{pause 8}・{pause 8}・{pause 10}	{emote: Distress}이게 대체 뭔 일이야～ {pause 15}{catchphrase}?!
"003"	{emote: Happiness}{Player nickname (green)}{000e-000e-0008-0002-c544-0002-c57c}{pause 15}	아침부터 활기차네～!{Wait for input}{emote: Distress}오늘은 {pause 10}해가 지지 않는대{Wait for input}	{emote: Love}지칠 때까지 놀아야지, {pause 15}{catchphrase}!
"004"	{emote: Happiness}{Player nickname (green)}{000e-000e-0008-0002-c544-0002-c57c}{pause 15}	{Greeting begin}안녕～{Greeting end}{Wait for input}{emote: Soft Smile}오늘은{pause 10} 계속 이렇게 	밝은가 보네, {pause 15}{catchphrase}
"005"	{emote: Happiness}{Player nickname (green)}{000e-000e-0008-0002-c544-0002-c57c}{pause 15} 얏호ー!{Wait for input}{emote: Glee}오늘은 {pause 10}해가 지지 않는대!{Wait for input}	{emote: Sunny}햇살이 가득한 하루를{pause 8}	맘껏 즐기자구, {pause 15}{catchphrase}
"006"	{emote: Surprise}앗! {pause 20}{Player nickname (green)}{000e-000e-0008-0002-c544-0002-c57c}!{Wait for input}{emote: Happiness}오늘은 해님이{pause 10}	밤까지 나와 있대～{Wait for input}	{emote: Love}하루 종일 {pause 10}일광욕해야지, {pause 15}{catchphrase}!
"007"	{emote: Happiness}{Greeting begin}얏호ー!{Greeting end}{pause 15}	{Player nickname (green)}{000e-000e-0008-0002-c544-0002-c57c}!{Wait for input}{emote: Glee}오늘은 {pause 10}하루 종～일 밝다니까{pause 15}	밤새도록{pause 10} {emote: Love}놀아보자～ {pause 15}{catchphrase}!
"008"	{emote: Happiness}{Player nickname (green)}{000e-000e-0008-0002-c544-0002-c57c}{pause 20}	굿 모닝～ {pause 10}{catchphrase}!{Wait for input}{pause 8}・{pause 8}・{pause 8}・{pause 8}{emote: Mistaken}아, 아니구나!	벌써 {pause 8}밤이었어{Wait for input}{emote: Sheepishness}오늘 밤은 밝아서{pause 10}	지금이 몇 신지 {pause 5}잘 모르겠어!
"009"	{emote: Happiness}{Player nickname (green)}{000e-000e-0008-0002-c544-0002-c57c}{pause 20}	{Greeting begin}안녕～{Greeting end}{Wait for input}{emote: Resigned}밤이 됐는데도{pause 10} 아직 이렇게 밝네～{pause 20}	{emote: Happiness}언제 자면 좋을까, {pause 15}{catchphrase}?
"010"	{emote: Happiness}{Greeting begin}{Player nickname (green)}{000e-000e-0008-0002-c544-0002-c57c}, 얏호～!{Greeting end}{Wait for input}{emote: Glee}있지 있지 {pause 8}	사실은 한밤중인데{pause 15} 아직 밝다니{pause 10}	{emote: Love}완전 짱인 것 같애, {pause 15}{catchphrase}!
"011"	{emote: Surprise}앗!{pause 20}	{emote: Happiness}{Player nickname (green)}{000e-000e-0006-0002-c774-0000}다～{Wait for input}{emote: Glee}오늘은 {pause 10}계～속{pause 8} 해가 나와 있어!{pause 15}	{emote: Joy}완전 신 난다～ {pause 15}{catchphrase}!{pause 30}{emote: Soft Smile}
