== 0 ==
"001"	{0009-0001-0006-04-00-05-00-06-00}
"002"	{000a-0007-000c-07-00-07-00-07-00-07-00-0b-00-0b-00}
"003"	{0009-0001-0006-0e-00-0f-00-10-00}
"004"	{emote: Alarmed}
"005"	{emote: Soft Smile}
"006"	{emote: Sigh}
"007"	{0009-0001-0006-08-00-09-00-00-00}	
"008"	{emote: Soft Smile}
"009"	{emote: Shyness}
"010"	{emote: Sheepishness}
"011"	{000a-0009-000e-0c-00-0c-00-0c-00-0c-00-0c-00-0d-00-0d-00}
"012"	가끔 이렇게{pause 16}!
"013"	주말에는 가끔씩{pause 16}
"014"	{emote: Worry}
"015"	{pause 8}
"016"	{pause 8}
