== 0 ==
"001"	Dear 	,
"002"	Dear 	,
"003"	Dear 	,
"004"	Dear 	,
"005"	Dear 	,
"006"	Hey, 	,
"007"	Hey, 	,
"008"	To 	,
"009"	To 	,
== 1 ==
"001"	Querid{o/a} 	:
"002"	Querid{o/a} 	:
"003"	Querid{o/a} 	:
"004"	Querid{o/a} 	:
"005"	Querid{o/a} 	:
"006"	Hola, 	:
"007"	Hola, 	:
"008"	Buenas, 	:
"009"	Buenas, 	:
== 2 ==
"001"	{Cher/Chère} fan,
"002"	{Cher/Chère} 	,
"003"	{Cher/Chère} fan,
"004"	{Cher/Chère} 	,
"005"	{Cher/Chère} fan,
"006"	Hé, 	,
"007"	Hé, 	,
"008"	{Cher/Chère} 	,
"009"	{Cher/Chère} 	,
