== 0 ==
"ant00"	Cyrano
"ant01"	Antonio
"ant02"	Pango
"ant03"	Anabelle
"ant04"	
"ant05"	
"ant06"	Snooty
"ant07"	
"ant08"	Annalisa
"ant09"	Olaf
"bea00"	Teddy
"bea01"	Pinky
"bea02"	Curt
"bea03"	Chow
"bea04"	
"bea05"	Nate
"bea06"	Groucho
"bea07"	Tutu
"bea08"	Ursala
"bea09"	Grizzly
"bea10"	Paula
"bea11"	Ike
"bea12"	Charlise
"bea13"	Beardo
"bea14"	Klaus
"brd00"	Jay
"brd01"	Robin
"brd02"	Anchovy
"brd03"	Twiggy
"brd04"	Jitters
"brd05"	Piper
"brd06"	Admiral
"brd07"	
"brd08"	Midge
"brd09"	
"brd10"	
"brd11"	Jacob
"brd12"	
"brd13"	
"brd14"	
"brd15"	Lucha
"brd16"	Jacques
"brd17"	Peck
"brd18"	Sparro
"brd19"	Medli
"bul00"	Angus
"bul01"	Rodeo
"bul02"	
"bul03"	Stu
"bul04"	
"bul05"	T-Bone
"bul06"	
"bul07"	Coach
"bul08"	Vic
"cat00"	Bob
"cat01"	Mitzi
"cat02"	Rosie
"cat03"	Olivia
"cat04"	Kiki
"cat05"	Tangy
"cat06"	Punchy
"cat07"	Purrl
"cat08"	Moe
"cat09"	Kabuki
"cat10"	Kid Cat
"cat11"	Monique
"cat12"	Tabby
"cat13"	Stinky
"cat14"	Kitty
"cat15"	Tom
"cat16"	Merry
"cat17"	Felicity
"cat18"	Lolly
"cat19"	Ankha
"cat20"	Rudy
"cat21"	Katt
"cat22"	Felyne
"cbr00"	Bluebear
"cbr01"	Maple
"cbr02"	Poncho
"cbr03"	Pudge
"cbr04"	Kody
"cbr05"	Stitches
"cbr06"	Vladimir
"cbr07"	Murphy
"cbr08"	
"cbr09"	Olive
"cbr10"	Cheri
"cbr11"	
"cbr12"	
"cbr13"	June
"cbr14"	Pekoe
"cbr15"	Chester
"cbr16"	Barold
"cbr17"	Tammy
"cbr18"	Marty
"chn00"	Goose
"chn01"	Benedict
"chn02"	Egbert
"chn03"	
"chn04"	
"chn05"	Ava
"chn06"	
"chn07"	
"chn08"	
"chn09"	Becky
"chn10"	Plucky
"chn11"	Knox
"chn12"	Broffina
"chn13"	Ken
"cow00"	Patty
"cow01"	Tipper
"cow02"	
"cow03"	
"cow04"	
"cow05"	
"cow06"	Norma
"cow07"	Naomi
"crd00"	Alfonso
"crd01"	Alli
"crd02"	Boots
"crd03"	
"crd04"	Del
"crd05"	
"crd06"	Sly
"crd07"	Gayle
"crd08"	Drago
"der00"	Fauna
"der01"	Bam
"der02"	Zell
"der03"	Bruce
"der04"	Deirdre
"der05"	Lopez
"der06"	Fuchsia
"der07"	Beau
"der08"	Diana
"der09"	Erik
"der10"	Chelsea
"dog00"	Goldie
"dog01"	Butch
"dog02"	Lucky
"dog03"	Biskit
"dog04"	Bones
"dog05"	Portia
"dog06"	Walker
"dog07"	Daisy
"dog08"	Cookie
"dog09"	Maddie
"dog10"	Bea
"dog11"	
"dog12"	
"dog13"	
"dog14"	Mac
"dog15"	Marcel
"dog16"	Benjamin
"dog17"	Cherry
"dog18"	Shep
"duk00"	Bill
"duk01"	Joey
"duk02"	Pate
"duk03"	Maelle
"duk04"	Deena
"duk05"	Pompom
"duk06"	Mallary
"duk07"	Freckles
