== 0 ==
"001"	{emote: Sunny}
"002"	{emote: Alarmed}
"003"	{emote: Alarmed}
"004"	{emote: Alarmed}
"005"	{emote: Shocked}
"006"	{emote: Sunny}
"007"	{emote: Sunny}
"008"	{emote: Worry}
== 1 ==
"001"	{emote: Sunny}
"002"	{emote: Alarmed}
"003"	{emote: Alarmed}
"004"	{emote: Alarmed}
"005"	{emote: Shocked}
"006"	{emote: Sunny}
"007"	{emote: Sunny}
"008"	{emote: Worry}
== 2 ==
"001"	{emote: Sunny}
"002"	{emote: Sunny}
"003"	{emote: Alarmed}
"004"	{emote: Alarmed}
"005"	{emote: Shocked}
"006"	{emote: Sunny}
"007"	{emote: Sunny}
"008"	{emote: Worry}
