== 0 ==
"001"	{emote: Joy}
"002"	{emote: Alarmed}
"003"	{emote: Glee}
"004"	{emote: Greetings}
"005"	{emote: Greetings}
"006"	{emote: Greetings}
"007"	{emote: Greetings}
"008"	{emote: Greetings}
"009"	{emote: Greetings}
== 1 ==
"001"	{emote: Joy}
"002"	{emote: Alarmed}
"003"	{emote: Glee}
"004"	{emote: Greetings}
"005"	{emote: Greetings}
"006"	{emote: Greetings}
"007"	{emote: Greetings}
"008"	{emote: Greetings}
"009"	{emote: Greetings}
== 2 ==
"001"	{emote: Joy}
"002"	{emote: Alarmed}
"003"	{emote: Glee}
"004"	{emote: Greetings}
"005"	{emote: Greetings}
"006"	{emote: Greetings}
"007"	{emote: Greetings}
"008"	{emote: Greetings}
"009"	{emote: Greetings}
