== 0 ==
"001"	{emote: Sneezing}
"002"	Ugh{pause 8}
"003"	{emote: Sadness}
"004"	{emote: Fearful}
"005"	{emote: Sadness}
"006"	{emote: Worry}
"007"	{emote: Joy}
"008"	{emote: Sorrow}
"009"	Ugh!{pause 20}
== 1 ==
"001"	{emote: Sneezing}
"002"	Ay{pause 8}
"003"	{emote: Sadness}
"004"	{emote: Fearful}
"005"	{emote: Sadness}
"006"	{emote: Worry}
"007"	{emote: Joy}
"008"	{emote: Sorrow}
"009"	¡Ay!{pause 20}
== 2 ==
"001"	{emote: Sneezing}
"002"	Oohohh{pause 8}!
"003"	{emote: Sadness}
"004"	{emote: Fearful}
"005"	{emote: Sadness}
"006"	{emote: Worry}
"007"	{emote: Joy}
"008"	{emote: Sorrow}
"009"	AAaeeuuurrggghhh...{pause 20}
