== 0 ==
"001"	{emote: Worry}
"002"	{emote: Alarmed}
"003"	{emote: Glee}
"004"	{emote: Delight}
"005"	It's {Article(word-dependant)}
"006"	{emote: Happiness}
"007"	It's {Article(word-dependant)}
== 1 ==
"001"	{emote: Worry}
"002"	{emote: Alarmed}
"003"	{emote: Glee}
"004"	{emote: Sunny}
"005"	¡Es {Article(word-dependant)}
"006"	{emote: Happiness}
"007"	¡Es {Article(word-dependant)}
== 2 ==
"001"	{emote: Worry}
"002"	{emote: Alarmed}
"003"	{emote: Glee}
"004"	{emote: Delight}
"005"	C'est {Article(word-dependant)}
"006"	{emote: Happiness}
"007"	C'est {Article(word-dependant)}
