== 0 ==
"001"	{emote: Distress}
"002"	{emote: Curious}
"003"	{emote: Mistaken}
"004"	{emote: Happiness}
"005"	{emote: Greetings}
"006"	{emote: Greetings}
"007"	{emote: Happiness}
"008"	{emote: Glee}
"009"	{emote: Curious}
"010"	{emote: Sadness}
== 1 ==
"001"	{emote: Distress}
"002"	{emote: Curious}
"003"	{emote: Mistaken}
"004"	{emote: Happiness}
"005"	{emote: Greetings}
"006"	{emote: Greetings}
"007"	{emote: Happiness}
"008"	{emote: Glee}
"009"	{emote: Curious}
"010"	{emote: Sadness}
== 2 ==
"001"	{emote: Distress}
"002"	{emote: Curious}
"003"	{emote: Mistaken}
"004"	{emote: Happiness}
"005"	{emote: Greetings}
"006"	{emote: Greetings}
"007"	{emote: Happiness}
"008"	{emote: Glee}
"009"	{emote: Curious}
"010"	{emote: Sadness}
