== 0 ==
"001"	{emote: Mistaken}
"002"	{emote: Alarmed}
"003"	{emote: Worry}
"004"	{emote: Love}
"005"	{emote: Happiness}
"006"	{emote: Glare}
"007"	{emote: Happiness}
"008"	{emote: Worry}
"009"	{emote: Worry}
== 1 ==
"001"	{emote: Mistaken}
"002"	{emote: Alarmed}
"003"	{emote: Worry}
"004"	{emote: Love}
"005"	{emote: Happiness}
"006"	¿Crees que este juego está	chupado? {emote: Glare}
"007"	{emote: Happiness}
"008"	{emote: Worry}
"009"	{emote: Worry}
== 2 ==
"001"	{emote: Mistaken}
"002"	{emote: Alarmed}
"003"	{emote: Worry}
"004"	{emote: Love}
"005"	{emote: Happiness}
"006"	{emote: Glare}
"007"	{emote: Happiness}
"008"	{emote: Worry}
"009"	{emote: Worry}
