== 0 ==
"001"	{emote: Happiness}
"002"	{emote: Happiness}
"003"	{emote: Happiness}
"004"	{emote: Glee}
"005"	{emote: Happiness}
"006"	{emote: Surprise}
"007"	{emote: Happiness}
"008"	{emote: Joy}
"009"	{emote: Happiness}
"010"	{emote: Happiness}
"011"	{emote: Happiness}
== 1 ==
"001"	{emote: Happiness}
"002"	{emote: Happiness}
"003"	{emote: Happiness}
"004"	{emote: Glee}
"005"	{emote: Happiness}
"006"	{emote: Surprise}
"007"	{emote: Happiness}
"008"	{emote: Joy}
"009"	{emote: Happiness}
"010"	{emote: Happiness}
"011"	{emote: Happiness}
== 2 ==
"001"	{emote: Happiness}
"002"	{emote: Happiness}
"003"	{emote: Happiness}
"004"	{emote: Glee}
"005"	{emote: Happiness}
"006"	{emote: Surprise}
"007"	{emote: Happiness}
"008"	{emote: Joy}
"009"	{emote: Happiness}
"010"	{emote: Happiness}
"011"	{emote: Happiness}
