== 0 ==
"001"	{emote: Greetings}
"002"	{emote: Greetings}
"003"	{emote: Greetings}
"004"	{emote: Greetings}
"005"	{emote: Curious}
"006"	{emote: Greetings}
"007"	{emote: Greetings}
"008"	{emote: Curious}
"009"	{emote: Delight}
"010"	{emote: Fearful}
== 1 ==
"001"	{emote: Greetings}
"002"	{emote: Greetings}
"003"	{emote: Greetings}
"004"	{emote: Greetings}
"005"	{emote: Curious}
"006"	{emote: Greetings}
"007"	{emote: Greetings}
"008"	{emote: Curious}
"009"	{emote: Delight}
"010"	{emote: Fearful}
== 2 ==
"001"	{emote: Greetings}
"002"	{emote: Greetings}
"003"	{emote: Greetings}
"004"	{emote: Greetings}
"005"	{emote: Curious}
"006"	{emote: Greetings}
"007"	{emote: Greetings}
"008"	{emote: Curious}
"009"	{emote: Delight}
"010"	{emote: Fearful}
