== 0 ==
"001"	{emote: Greetings}
"002"	{emote: Happiness}
"003"	{emote: Flourish}
"004"	{emote: Showmanship}
"005"	{emote: Greetings}
"006"	{emote: Greetings}
"007"	{emote: Happiness}
"008"	{emote: Happiness}
"009"	{emote: Greetings}
"010"	{emote: Greetings}
"011"	{emote: Greetings}
== 1 ==
"001"	{emote: Greetings}
"002"	{emote: Happiness}
"003"	{emote: Flourish}
"004"	{emote: Showmanship}
"005"	{emote: Greetings}
"006"	{emote: Greetings}
"007"	{emote: Happiness}
"008"	{emote: Happiness}
"009"	{emote: Greetings}
"010"	{emote: Greetings}
"011"	{emote: Greetings}
== 2 ==
"001"	{emote: Greetings}
"002"	{emote: Happiness}
"003"	{emote: Flourish}
"004"	{emote: Showmanship}
"005"	{emote: Greetings}
"006"	{emote: Greetings}
"007"	{emote: Happiness}
"008"	{emote: Happiness}
"009"	{emote: Greetings}
"010"	{emote: Greetings}
"011"	{emote: Greetings}
