== 0 ==
"001"	{emote: Anger}
"002"	{emote: Happiness}
"003"	{emote: Sunny}
"004"	{emote: Happiness}
"005"	{emote: Sunny}
"006"	{emote: Agreement}
"007"	{emote: Greetings}
"008"	{emote: Happiness}
"009"	{emote: Greetings}
== 1 ==
"001"	{emote: Anger}
"002"	{emote: Happiness}
"003"	{emote: Sunny}
"004"	{emote: Happiness}
"005"	{emote: Sunny}
"006"	{emote: Agreement}
"007"	{emote: Greetings}
"008"	{emote: Happiness}
"009"	{emote: Greetings}
== 2 ==
"001"	{emote: Anger}
"002"	{emote: Happiness}
"003"	{emote: Sunny}
"004"	{emote: Happiness}
"005"	{emote: Sunny}
"006"	{emote: Agreement}
"007"	{emote: Greetings}
"008"	{emote: Happiness}
"009"	{emote: Greetings}
