== 0 ==
"001"	{emote: Shocked}
"002"	{emote: Worry}
"003"	Huh?{pause 20}
"004"	{emote: Distress}
"005"	{emote: Sadness}
"006"	{emote: Anger}
"007"	{emote: Sadness}
"008"	{emote: Sadness}
"009"	{emote: Sadness}
== 1 ==
"001"	{emote: Shocked}
"002"	{emote: Worry}
"003"	¿Eh?{pause 20}
"004"	{emote: Distress}
"005"	{emote: Sadness}
"006"	{emote: Anger}
"007"	{emote: Sadness}
"008"	{emote: Sadness}
"009"	{emote: Sadness}
== 2 ==
"001"	{emote: Shocked}
"002"	{emote: Worry}
"003"	Euh...?{pause 20}
"004"	{emote: Distress}
"005"	{emote: Sadness}
"006"	{emote: Anger}
"007"	{emote: Sadness}
"008"	{emote: Sadness}
"009"	{emote: Sadness}
