== 0 ==
"001"	{emote: Sneezing}
"002"	{emote: Sadness}
"003"	{emote: Sadness}
"004"	{emote: HotWithSleeves}
"005"	{emote: Sadness}
"006"	{emote: Glee}
"007"	{emote: Sadness}
"008"	{emote: Sadness}
"009"	{emote: Distress}
== 1 ==
"001"	{emote: Sneezing}
"002"	{emote: Sadness}
"003"	{emote: Sadness}
"004"	{emote: HotWithSleeves}
"005"	{emote: Sadness}
"006"	{emote: Glee}
"007"	{emote: Sadness}
"008"	{emote: Sadness}
"009"	{emote: Distress}
== 2 ==
"001"	{emote: Sneezing}
"002"	{emote: Sadness}
"003"	{emote: Sadness}
"004"	{emote: HotWithSleeves}
"005"	{emote: Sadness}
"006"	{emote: Glee}
"007"	{emote: Sadness}
"008"	{emote: Sadness}
"009"	{emote: Distress}
